name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
**Phả Lại**,Coal,Operational,2002,Hai Duong,0,PDP8 Annex I,EVN Ann. Rep.,Phả Lại 1 (4×44MW) excluded as units are <30MWe.
**Uông Bí**,Coal,Operational,2009,Quang Ninh,0,PDP8 Annex I,EVN Ann. Rep.,Uông Bí 1 (older units) retired/excluded.
**Quảng Ninh**,Coal,Operational,2010,Quang Ninh,0,PDP8 Annex I,EVN Ann. Rep.,
**Hải Phòng**,Coal,Operational,2014,Hai Phong,0,PDP8 Annex I,EVN Ann. Rep.,
**Mông Dương 1**,Coal,Operational,2015,Quang Ninh,0,PDP8 Annex I,EVN Ann. Rep.,Circulating Fluidized Bed tech.
**Mông Dương 2**,Coal,Operational,2015,Quang Ninh,0,PDP8 Annex I,MOIT Master Plan,"BOT project, AES ownership."
**Cẩm Phả**,Coal,Operational,2009,Quang Ninh,0,PDP8 Annex I,MOIT Master Plan,Owned by coal mining group TKV.
**Vũng Áng 1**,Coal,Operational,2014,Ha Tinh,0,PDP8 Annex I,PV Power Rep.,
**Nghi Sơn 1**,Coal,Operational,2013,Thanh Hoa,0,PDP8 Annex I,EVN Ann. Rep.,
**Nghi Sơn 2**,Coal,Operational,2022,Thanh Hoa,0,PDP8 Annex I,MOIT Master Plan,BOT project.
**Vĩnh Tân 1**,Coal,Operational,2018,Binh Thuan,0,PDP8 Annex I,MOIT Master Plan,BOT project.
**Vĩnh Tân 2**,Coal,Operational,2015,Binh Thuan,0,PDP8 Annex I,EVN Ann. Rep.,
**Vĩnh Tân 3**,Coal,Operational,2024,Binh Thuan,0,PDP8 Annex I,MOIT Master Plan,Final commissioning phases in 2023/24.
**Vĩnh Tân 4**,Coal,Operational,2019,Binh Thuan,0,PDP8 Annex I,EVN Ann. Rep.,
**Duyên Hải 1**,Coal,Operational,2015,Tra Vinh,0,PDP8 Annex I,EVN Ann. Rep.,
**Duyên Hải 2**,Coal,Operational,2021,Tra Vinh,0,PDP8 Annex I,EVN Ann. Rep.,"Originally BOT, transferred to EVN."
**Duyên Hải 3**,Coal,Operational,2017,Tra Vinh,0,PDP8 Annex I,EVN Ann. Rep.,
**Duyên Hải 3 (Ext)**,Coal,Operational,2021,Tra Vinh,0,PDP8 Annex I,EVN Ann. Rep.,Extension unit.
**Sông Hậu 1**,Coal,Operational,2022,Hau Giang,0,PDP8 Annex I,PV Power Rep.,
**Thái Bình 2**,Coal,Operational,2023,Thai Binh,0,PDP8 Annex I,PV Power Rep.,Heavily delayed; achieved COD in 2023.
**Long Phú 1**,Coal,Under Const.,2025 (Exp),Soc Trang,0,PDP8 Annex I,PV Power Rep.,Stalled for years due to contractor (Power Machines) issues.
**Quảng Trạch 1**,Coal,Under Const.,2025 (Exp),Quang Binh,0,PDP8 Annex I,EVN Ann. Rep.,
**Quảng Trạch 2**,Coal,Suspended,N/A,Quang Binh,0,PDP8 Annex II,MOIT Master Plan,PDP8 halted new coal; future uncertain.
**Phú Mỹ Complex**,Dom. Gas,Operational,1997-2004,Ba Ria-Vung Tau,0,PDP8 Annex I,EVN Ann. Rep.,"Comprises PM1, PM2.1, PM2.2, PM3, PM4."
**Bà Rịa**,Dom. Gas,Operational,1990s,Ba Ria-Vung Tau,0,PDP8 Annex I,EVN Ann. Rep.,Older peaking/mid-merit units.
**Nhơn Trạch 1**,Dom. Gas,Operational,2009,Dong Nai,0,PDP8 Annex I,PV Power Rep.,
**Nhơn Trạch 2**,Dom. Gas,Operational,2011,Dong Nai,0,PDP8 Annex I,PV Power Rep.,
**Nhơn Trạch 3 & 4**,Imp. LNG,Under Const.,2025 (Exp),Dong Nai,0,PDP8 Annex II,PV Power Rep.,First major LNG transition plants.
**Cà Mau 1 & 2**,Dom. Gas,Operational,2008,Ca Mau,0,PDP8 Annex I,PV Power Rep.,Fueled by PM3-Caa & Malay Tho Chu gas.
**Ô Môn 1 & 2**,Dom. Gas,Operational,2008-2015,Can Tho,0,PDP8 Annex I,EVN Ann. Rep.,O Mon 1 is steam; O Mon 2 is GT.
**Ô Môn 3 & 4**,Dom. Gas/LNG,Planned,2028 (Exp),Can Tho,0,PDP8 Annex II,MOIT Master Plan,Awaiting domestic gas field development (Block B).
**Sơn Mỹ**,Imp. LNG,Planned,2028+,Binh Thuan,0,PDP8 Annex II,MOIT Master Plan,Tied to Son My LNG terminal development.
**Bạc Liêu**,Imp. LNG,Approved,2027+,Bac Lieu,0,PDP8 Annex II,MOIT Master Plan,Major US-backed LNG-to-power project.
**Long An**,Imp. LNG,Planned,2028+,Long An,0,PDP8 Annex II,MOIT Master Plan,
**Miền Trung**,Imp. LNG,Planned,2030+,Quang Nam,0,PDP8 Annex II,MOIT Master Plan,Central region LNG hub.
