name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhiệt điện Phả Lại 1,Coal,Operational,1983–1986,Hải Dương,0,"PDP7r, existing coal base",Owner/EVN portfolio,Older anthracite-fired plant.
Nhiệt điện Phả Lại 2,Coal,Operational,2001–2002,Hải Dương,0,PDP7r,Owner/EVN portfolio,Japanese-funded expansion.
Nhiệt điện Uông Bí mở rộng 1,Coal,Operational,2009,Quảng Ninh,0,PDP7r,EVN/GENCO1 portfolio,Part of Uông Bí complex.
Nhiệt điện Uông Bí mở rộng 2,Coal,Operational,2013,Quảng Ninh,0,PDP7r,EVN/GENCO1 portfolio,Part of Uông Bí complex.
Nhiệt điện Uông Bí cũ,Coal,Retired / partly retired,1960s–1970s,Quảng Ninh,0,PDP7r legacy system,EVN history,Legacy units largely retired; capacity should be verified unit-by-unit.
Nhiệt điện Cao Ngạn,Coal,Operational,2006,Thái Nguyên,0,PDP7r,Vinacomin portfolio,Burns domestic coal.
Nhiệt điện Na Dương,Coal,Operational,2005,Lạng Sơn,0,PDP7r,Vinacomin portfolio,Mine-mouth lignite plant.
Nhiệt điện Sơn Động,Coal,Operational,2010,Bắc Giang,0,PDP7r,Vinacomin portfolio,Domestic coal.
Nhiệt điện Cẩm Phả,Coal,Operational,2010–2011,Quảng Ninh,0,PDP7r,Vinacomin portfolio,Domestic anthracite.
Nhiệt điện Mạo Khê,Coal,Operational,2012,Quảng Ninh,0,PDP7r,Vinacomin portfolio,Mine-mouth / domestic coal.
Nhiệt điện An Khánh,Coal,Operational,~2015,Thái Nguyên,0,PDP7r,Company disclosures,Smaller IPP coal plant.
Nhiệt điện Hải Phòng 1,Coal,Operational,2011–2012,Hải Phòng,0,PDP7r,EVN/GENCO2 portfolio,Part of Hải Phòng power centre.
Nhiệt điện Hải Phòng 2,Coal,Operational,2013–2014,Hải Phòng,0,PDP7r,EVN/GENCO2 portfolio,Part of Hải Phòng power centre.
Nhiệt điện Quảng Ninh 1,Coal,Operational,2009–2010,Quảng Ninh,0,PDP7r,EVN/GENCO1 portfolio,Domestic coal.
Nhiệt điện Quảng Ninh 2,Coal,Operational,2013–2014,Quảng Ninh,0,PDP7r,EVN/GENCO1 portfolio,Domestic coal.
Nhiệt điện Mông Dương 1,Coal,Operational,2015,Quảng Ninh,0,PDP7r,EVN/GENCO3 portfolio,Domestic coal; CFB boilers.
Nhiệt điện Mông Dương 2,Coal,Operational,2015,Quảng Ninh,0,PDP7r,BOT project disclosures,First major foreign BOT coal plant.
Nhiệt điện Thái Bình 1,Coal,Operational,2017–2018,Thái Bình,0,PDP7r,EVN/GENCO3 portfolio,Domestic/imported coal blend.
Nhiệt điện Thái Bình 2,Coal,Operational,2023,Thái Bình,0,PDP7r,PVN/PV Power disclosures,Long-delayed PVN project.
Nhiệt điện Nghi Sơn 1,Coal,Operational,2014–2015,Thanh Hóa,0,PDP7r,EVN/GENCO1 portfolio,Domestic coal.
Nhiệt điện Nghi Sơn 2,Coal,Operational,2022,Thanh Hóa,0,PDP7r,BOT project disclosures,Imported-coal BOT.
Nhiệt điện Vũng Áng 1,Coal,Operational,2014–2015,Hà Tĩnh,0,PDP7r,PV Power portfolio,Domestic/imported coal.
Nhiệt điện Vũng Áng 2,Coal,Under construction,Expected mid-2020s,Hà Tĩnh,0,"PDP8, committed coal projects",BOT project disclosures,One of remaining coal projects allowed to proceed.
Nhiệt điện Hải Dương,Coal,Operational,2020–2021,Hải Dương,0,PDP7r,BOT project disclosures,Imported-coal BOT.
Nhiệt điện Thăng Long,Coal,Operational,2018,Quảng Ninh,0,PDP7r,Company disclosures,Domestic coal.
Nhiệt điện Vĩnh Tân 1,Coal,Operational,2018,Bình Thuận,0,PDP7r,BOT project disclosures,Imported coal.
Nhiệt điện Vĩnh Tân 2,Coal,Operational,2014–2015,Bình Thuận,0,PDP7r,EVN/GENCO3 portfolio,Part of Vĩnh Tân power centre.
Nhiệt điện Vĩnh Tân 4,Coal,Operational,2017–2018,Bình Thuận,0,PDP7r,EVN/GENCO3 portfolio,Main Vĩnh Tân 4 plant.
Nhiệt điện Vĩnh Tân 4 mở rộng,Coal,Operational,2019,Bình Thuận,0,PDP7r,EVN/GENCO3 portfolio,Expansion unit.
Nhiệt điện Duyên Hải 1,Coal,Operational,2015–2016,Trà Vinh,0,PDP7r,EVN/GENCO1 portfolio,Imported coal.
Nhiệt điện Duyên Hải 3,Coal,Operational,2016–2017,Trà Vinh,0,PDP7r,EVN/GENCO1 portfolio,Imported coal.
Nhiệt điện Duyên Hải 3 mở rộng,Coal,Operational,2020,Trà Vinh,0,PDP7r,EVN/GENCO1 portfolio,Single large expansion unit.
Nhiệt điện Duyên Hải 2,Coal,Operational,2021–2022,Trà Vinh,0,PDP7r,BOT project disclosures,Imported-coal BOT.
Nhiệt điện Sông Hậu 1,Coal,Operational,2021–2022,Hậu Giang,0,PDP7r,PVN/PV Power disclosures,Imported/domestic coal.
Nhiệt điện Vân Phong 1,Coal,Operational,2023–2024,Khánh Hòa,0,"PDP8, committed coal projects",BOT project disclosures,One of last new coal BOTs.
Nhiệt điện Quảng Trạch 1,Coal,Under construction,Expected mid/late-2020s,Quảng Bình,0,"PDP8, committed coal projects",EVN project disclosures,Continuing coal project in PDP8.
Nhiệt điện Quảng Trạch 2,Coal,Approved / planned,Expected late-2020s,Quảng Bình,0,"PDP8, committed coal projects",EVN project disclosures,Future/committed coal capacity.
