name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy nhiệt điện Uông Bí,Coal,Operational,1961,Quảng Ninh,105.0,,,Unit 1 & 2 (55+50 MW). Decommissioned 2019? Status unclear; may be partially retired.
Nhà máy nhiệt điện Uông Bí mở rộng I,Coal,Operational,2005,Quảng Ninh,300.0,,,Units 3 & 4.
Nhà máy nhiệt điện Uông Bí mở rộng II,Coal,Operational,2011,Quảng Ninh,330.0,,,Unit 5.
Nhà máy nhiệt điện Phả Lai I,Coal,Operational,1983,Hải Dương,440.0,,,Units 1-4. Unit 1&2 (110 MW each) decommissioned 2019.
Nhà máy nhiệt điện Phả Lai II,Coal,Operational,2001,Hải Dương,600.0,,,Units 5 & 6.
Nhà máy nhiệt điện Ninh Bình,Coal,Operational,1974,Ninh Bình,100.0,,,Two 50 MW units. Likely decommissioned/suspended.
Nhà máy nhiệt điện Hải Phòng I,Coal,Operational,2001,Hải Phòng,300.0,,,Units 1 & 2. Decommissioned 2019? Status unclear.
Nhà máy nhiệt điện Hải Phòng I mở rộng (Hải Phòng 2),Coal,Operational,2014,Hải Phòng,600.0,,,Units 3 & 4.
Nhà máy nhiệt điện Quảng Ninh I,Coal,Operational,2011,Quảng Ninh,300.0,,,Units 1 & 2.
Nhà máy nhiệt điện Quảng Ninh II,Coal,Operational,2015,Quảng Ninh,600.0,,,Units 3 & 4.
Nhà máy nhiệt điện Vĩnh Tân 2,Coal,Operational,2014,Bình Thuận,1244.0,,,
Nhà máy nhiệt điện Vĩnh Tân 4,Coal,Operational,2018,Bình Thuận,1200.0,,,
Nhà máy nhiệt điện Vĩnh Tân 4 mở rộng,Coal,Operational,2019,Bình Thuận,600.0,,,
Nhà máy nhiệt điện Duyên Hải 1,Coal,Operational,2015,Trà Vinh,1245.0,,,
Nhà máy nhiệt điện Duyên Hải 3,Coal,Operational,2016,Trà Vinh,1245.0,,,
Nhà máy nhiệt điện Duyên Hải 3 mở rộng,Coal,Operational,2019,Trà Vinh,660.0,,,
Nhà máy nhiệt điện Mông Dương 1,Coal,Operational,2015,Quảng Ninh,1080.0,,,
