name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy Nhiệt điện Uông Bí,Coal,Operational,1964,Quang Ninh,100.0,,,Original capacity was lower
Nhà máy Nhiệt điện Phả Lại,Coal,Operational,1983,Hai Duong,440.0,,,Unit 1 & 2.
Nhà máy Nhiệt điện Uông Bí mở rộng,Coal,Operational,2004,Quang Ninh,300.0,,,Unit 1.
Nhà máy Nhiệt điện Hải Phòng,Coal,Operational,2011,Hai Phong,600.0,,,Unit 1 & 2.
Nhà máy Nhiệt điện Mông Dương 1,Coal,Operational,2015,Quang Ninh,1080.0,,,BOT project.
Nhà máy Nhiệt điện Vĩnh Tân 2,Coal,Operational,2014,Binh Thuan,600.0,,,BOT project.
Nhà máy Nhiệt điện Vĩnh Tân 4,Coal,Operational,2017,Binh Thuan,600.0,,,BOT project.
Nhà máy Nhiệt điện Duyên Hải 1,Coal,Operational,2015,Tra Vinh,1200.0,,,BOT project.
Nhà máy Nhiệt điện Duyên Hải 3,Coal,Operational,2016,Tra Vinh,600.0,,,BOT project.
Nhà máy Nhiệt điện Duyên Hải 3 mở rộng,Coal,Operational,2019,Tra Vinh,600.0,,,BOT project.
Nhà máy Nhiệt điện Sông Hậu 1,Coal,Under construction,2022,Hau Giang,1200.0,,,BOT project.
Nhà máy Nhiệt điện Quảng Trạch 1,Coal,Under construction,2023,Quang Binh,1200.0,,,BOT project.
Nhà máy Nhiệt điện Nam Định 1,Coal,Proposed,2025,Nam Dinh,600.0,,,Inc. (Japan)
Nhà máy Nhiệt điện Quỳnh Lập 1,Coal,Proposed,2026,Nghe An,600.0,,,Inc. (Japan)
Nhà máy Nhiệt điện Quỳnh Lập 2,Coal,Proposed,2027,Nghe An,600.0,,,Inc. (Japan)
Nhà máy Nhiệt điện Vĩnh Tân 3,Coal,Proposed,2028,Binh Thuan,1800.0,,,BOT project.
Nhà máy Nhiệt điện Long Phú 1,Coal,Under construction,2023,Soc Trang,2000.0,,,BOT project.
Nhà máy Nhiệt điện Nhơn Trạch 1,Domestic gas,Operational,2004,Dong Nai,750.0,,,
Nhà máy Nhiệt điện Nhơn Trạch 2,Domestic gas,Operational,2015,Dong Nai,750.0,,,
Nhà máy Nhiệt điện Phú Mỹ 1,Domestic gas,Operational,2000,Ba Ria-Vung Tau,730.0,,,
Nhà máy Nhiệt điện Phú Mỹ 2,Domestic gas,Operational,2004,Ba Ria-Vung Tau,730.0,,,
Nhà máy Nhiệt điện Phú Mỹ 3,Domestic gas,Operational,2004,Ba Ria-Vung Tau,730.0,,,BOT project.
Nhà máy Nhiệt điện Bà Rịa,Domestic gas,Operational,2004,Ba Ria-Vung Tau,150.0,,,
Nhà máy Nhiệt điện Cà Mau 1,Domestic gas,Operational,2008,Ca Mau,300.0,,,
Nhà máy Nhiệt điện Cà Mau 2,Domestic gas,Operational,2010,Ca Mau,300.0,,,
Nhà máy Nhiệt điện Gia Lai,Domestic gas,Proposed,2025,Gia Lai,600.0,,,
Nhà máy Nhiệt điện Nhơn Trạch 3 & 4,Imported LNG,Under construction,2024,Dong Nai,1500.0,,,
Nhà máy Nhiệt điện Sơn Mỹ 1,Imported LNG,Under construction,2027,Binh Thuan,2000.0,,,BOT project.
Nhà máy Nhiệt điện Sơn Mỹ 2,Imported LNG,Proposed,2028,Binh Thuan,1000.0,,,
Nhà máy Nhiệt điện Quảng Ninh LNG,Imported LNG,Proposed,2026,Quang Ninh,1500.0,,,
Nhà máy Nhiệt điện Hải Lăng,Imported LNG,Proposed,2027,Quang Tri,1500.0,,,
Nhà máy Nhiệt điện Nghi Sơn 1,Coal,Operational,2013,Thanh Hoa,600.0,,,
Nhà máy Nhiệt điện Nghi Sơn 2,Coal,Operational,2019,Thanh Hoa,1200.0,,,
Nhà máy Nhiệt điện Formosa,Coal,Operational,2015,Ha Tinh,1200.0,,,Industrial plant with power generation.
Nhà máy Nhiệt điện Vũng Áng 1,Coal,Operational,2014,Ha Tinh,1200.0,,,
