name,fuel,status,cod,province,capacity_mwe
Van Phong 1 Thermal Power Plant,Coal,Operational,2024,Khanh Hoa,1432
Vung Ang II Thermal Power Plant,Coal,Under construction,2025-2026,Ha Tinh,1330
Na Duong II Thermal Power Plant,Coal,Pre-construction,2026,Lang Son,110
Quang Trach I Thermal Power Plant,Coal,Under construction,2026,Quang Binh,1403
An Khanh - Bac Giang Thermal Power Plant,Coal,Planned,2027,Bac Giang,650
Long Phu 1 Thermal Power Plant,Coal,Planned,2027,Soc Trang,1200
Quang Tri Thermal Power Plant,Coal (proposed conversion to gas),Suspended,Termination if not implemented by June 2024,Quang Tri,1320
Cong Thanh Thermal Power Plant,Coal (proposed conversion to LNG),Suspended,Proposed switch to LNG,Thanh Hoa,600
Nam Dinh I Thermal Power Plant,Coal,Behind schedule,Delayed post-2030,Nam Dinh,1200
Vinh Tan III Thermal Power Plant,Coal,Behind schedule,Delayed post-2030,Binh Thuan,1980
Song Hau II Thermal Power Plant,Coal,Behind schedule,Delayed post-2030,Hau Giang,2120
Nhon Trach 3 & 4 LNG Power Plants,Imported LNG,Under construction,2024-2025,Dong Nai,1624
Hiep Phuoc LNG Phase 1,Imported LNG,Planned,2025,Ho Chi Minh City,1200
Son My I LNG,Imported LNG,Planned,2027-2029,Binh Thuan,2250
Son My II 2 LNG,Imported LNG,Planned,2025,Binh Thuan,250
Long Son LNG,Imported LNG,Planned,2031-2035,Ba Ria-Vung Tau,1500
Long An I LNG,Imported LNG,Planned,2030,Long An,1500
Long An II LNG,Imported LNG,Planned,2031-2035,Long An,1500
Quang Ninh I LNG,Imported LNG,Planned,Post-2030,Quang Ninh,1500
Thai Binh LNG,Imported LNG,Planned,Post-2030,Thai Binh,1500
Nghi Son LNG,Imported LNG,Planned,2029-2030,Thanh Hoa,1500
Quynh Lap LNG,Imported LNG,Planned,2029-2030,Nghe An,1500
Quang Trach II LNG,Imported LNG (converted from coal),Planned,2029-2030,Quang Binh,1500
Ca Na LNG,Imported LNG,Planned,2029-2030,Ninh Thuan,1500
Hai Phong Phase 1 LNG,Imported LNG,Planned,2025-2030,Hai Phong,1600
Hai Phong Phase 2 LNG,Imported LNG,Planned,2031-2035,Hai Phong,3200
Hiep Phuoc Phase 2 LNG,Imported LNG,Planned,2025-2030,Ho Chi Minh City,1500
Cong Thanh LNG,Imported LNG,Planned,2031-2035,Thanh Hoa,1500
Vung Ang III LNG,Imported LNG,Planned,Post-2030,Ha Tinh,1500
O Mon I,Local Natural Gas (converting from FO oil),Operational (conversion in progress),Operational,Can Tho City,660
O Mon II,Local Natural Gas,Planned,2027,Can Tho City,1050
O Mon III,Local Natural Gas,Planned,Post-2030,Can Tho City,1050
Quang Trach II (converted to LNG),Imported LNG,Planned,2029-2030,Quang Binh,1500
Ken Bau Gas Field Projects (Hai Lang,Chan May),Local Natural Gas,Planned,2031-2035,0
