name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhiệt điện Phả Lại,Coal,Operational,1984–2001,Hải Dương,0,EVN annual report 2019,MOIT PDP7,Unit 1&2 Indonesian assistance; unit 3 added later
Nhiệt điện Uông Bí,Coal,Operational,1977–2004,Quảng Ninh,0,EVN annual report 2020,MOIT PDP7,Upgraded over time
Nhiệt điện Ninh Bình,Coal,Operational,2002–2004,Ninh Bình,0,MOIT PDP7,Industry news,–
Nhiệt điện Hải Phòng,Coal,Operational,2011–2012,Hải Phòng,0,EVN report 2011,MOIT PDP7,–
Nhiệt điện Quảng Ninh,Coal,Operational,2009–2010,Quảng Ninh,0,MOIT PDP7,Project documents,–
Nhiệt điện Mông Dương,Coal,Operational,2010–2011,Quảng Ninh,0,MOIT PDP7,Industry sources,Sometimes misreported as USC
Nhiệt điện Thái Bình,Coal,Operational,2017–2018,Thái Bình,0,MOIT PDP7,EVN annual report 2018,–
Nhiệt điện Duyên Hải 1,Coal,Operational,2013–2015,Trà Vinh,0,EVN report 2015,MOIT PDP7,Part of Duyen Hai complex
Nhiệt điện Duyên Hải 2,Coal,Operational,2014–2016,Trà Vinh,0,MOIT PDP7,EVN annual report 2016,–
Nhiệt điện Duyên Hải 3,Coal,Operational,2016–2017,Trà Vinh,0,MOIT PDP7,EVN report 2017,–
Nhiệt điện Vũng Áng 1,Coal,Operational,2014–2015,Hà Tĩnh,0,MOIT PDP7,Company website,Later unit 2 (600 MW USC) added? Actually unit 2 is 600 MW USC? I recall Vung Ang 1 is 2×300.
Nhiệt điện Sông Hậu 1,Coal,Operational,2018–2020,Hậu Giang,0,MOIT PDP7,EVN annual report 2020,–
Nhiệt điện Long Phú 1,Coal,Operational,2020–2021,Sóc Trăng,0,MOIT PDP7,Industry news,Part of Long Phu complex
Nhiệt điện Vân Phong 1,Coal,Operational,2015–2016,Khánh Hòa,0,MOIT PDP7,Project documents,–
Nhiệt điện Cẩm Phả,Coal,Operational,2010–2011,Quảng Ninh,0,MOIT PDP7,–,–
Nhiệt điện Quỳnh Lập,Coal,Under construction (suspended?),"Cancelled? Actually Quynh Lap 1 was cancelled, Quynh Lap 2? – better skip)",Nghệ An,0,–,–,–
Nhiệt điện Phú Mỹ (chuỗi),Domestic gas,Operational,2000–2010,Bà Rịa-Vũng Tàu,0,EVN report,MOIT PDP7,Includes Phu My 1–4 and expansion
Nhiệt điện Bà Rịa,Domestic gas,Operational,2008,Bà Rịa-Vũng Tàu,0,MOIT PDP7,Company doc,–
Nhiệt điện Nhơn Trạch 1,Domestic gas,Operational,2010,Đồng Nai,0,MOIT PDP7,EVN report,–
Nhiệt điện Nhơn Trạch 2,Domestic gas,Operational,2014,Đồng Nai,0,MOIT PDP7,EVN report,–
Nhiệt điện Cà Mau (Cà Mau 1 & 2),Domestic gas,Operational,2007–2009,Cà Mau,0,MOIT PDP7,PetroVietnam report,–
Nhiệt điện Ô Môn,Domestic gas,Operational,2009,Cần Thơ,0,MOIT PDP7,–,"O Mon complex planned for 4 units, but only O Mon 1 built? Actually O Mon 1 (330 MW) operational, O Mon 2 (330 MW) under construction, O Mon 3 (660 MW) planned, O Mon 4 (660 MW) planned."
