name,fuel,status,cod,province,capacity_mwe
Vinh Tan 1,Coal,Operational,2019-05-26,Binh Thuan,1200
Vinh Tan 2,Coal,Operational,2014-10-01,Binh Thuan,600
Vinh Tan 3,Coal,Under Construction,2025-12-31,Binh Thuan,2400
Vinh Tan 4,Coal,Operational,2019-03-11,Binh Thuan,3600
Duyen Hai 1,Coal,Operational,2014-07-01,Tra Vinh,1200
Duyen Hai 3,Coal,Operational,2016-05-25,Tra Vinh,1200
Duyen Hai 3 Mở rộng,Coal,Operational,2019-01-10,Tra Vinh,600
Duyen Hai 5,Coal,Planned,2028-12-31,Tra Vinh,1200
Mong Duong 1,Coal,Operational,2015-04-26,Quang Ninh,1100
Mon Cay,Coal,Operational,2019-09-01,Quang Ninh,660
Hai Phong,Coal,Operational,2020-03-01,Hai Phong,600
Quang Ninh,Coal,Operational,2018-07-01,Quang Ninh,600
Cam Pha,Coal,Operational,2015-01-01,Quang Ninh,300
Na Duong,Coal,Operational,2015-05-01,Lang Son,100
Cao Ngan,Coal,Operational,2015-01-01,Thai Nguyen,600
Nghi Son 1,Coal,Operational,2017-01-01,Thanh Hoa,600
Nghi Son 2,Coal,Operational,2020-01-01,Thanh Hoa,1200
F F - Vung Ang 1,Coal,Operational,2013-01-30,Ha Tinh,1200
F F - Vung Ang 2,Coal,Operational,2016-01-01,Ha Tinh,600
Southeast Asia Gas - Phu My 1,Local Natural Gas,Operational,2002-01-01,Ba Ria - Vung Tau,469
PetroVietnam Power Nhon Trach 1,Local Natural Gas,Operational,2007-01-01,Dong Nai,750
PetroVietnam Power Nhon Trach 2,Local Natural Gas,Operational,2012-01-01,Dong Nai,750
PetroVietnam Power Ca Mau 1,Local Natural Gas,Operational,2008-01-01,Ca Mau,750
PetroVietnam Power Ca Mau 2,Local Natural Gas,Operational,2010-01-01,Ca Mau,600
PetroVietnam Power Gia Rai,Local Natural Gas,Operational,2015-01-01,Binh Thuan,1200
PetroVietnam Power Long Phu 1,Coal,Operational,2020-01-01,Soc Trang,1320
PetroVietnam Power Song Hau 1,Coal,Under Construction,2023-12-31,Hau Giang,1200
PetroVietnam Power Quang Trach 1,Coal,Under Construction,2025-12-31,Quang Binh,1200
PetroVietnam Power Quang Trach 2,Coal,Planned,2028-12-31,Quang Binh,600
PV Gas - Nhon Trach 3,Imported LNG,Planned,2025-06-30,Dong Nai,1500
PV Gas - Nhon Trach 4,Imported LNG,Planned,2026-12-31,Dong Nai,1000
Kien Giang 1,Coal,Operational,2019-01-01,Kien Giang,100
Long Phu 2,Coal,Planned,2027-12-31,Soc Trang,1200
Son My 1,Imported LNG,Planned,2027-06-30,Binh Thuan,2200
Son My 2,Imported LNG,Planned,2028-12-31,Binh Thuan,1000
Huong Ly,Coal,Operational,2020-01-01,Quang Ngai,600
Quynh Lap 1,Coal,Under Construction,2024-12-31,Nghe An,1200
Ha Tien 1,Coal,Operational,2017-01-01,Kien Giang,300
Phuoc Long,Coal,Operational,2013-01-01,Binh Phuoc,600
Bao Diem,Coal,Operational,2015-01-01,Ha Giang,60
Lam Dong - Bao Lam,Coal,Operational,2014-01-01,Lam Dong,100
Thac Ba Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,1962-01-01,0
Hoa Binh Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,1989-01-01,0
Tuyen Quang Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2008-01-01,0
Huoi Quang Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2017-01-01,0
Lai Chau Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2016-01-01,0
Ialy Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2003-01-01,0
Se San 3 Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2006-01-01,0
Ses San 4 Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Ba Ha Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2012-01-01,0
Song Bung 4 Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Xep Ban Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Dai Ninh Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2002-01-01,0
An Khe - Ka Nak Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2004-01-01,0
Buon Kuông Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,1994-01-01,0
Trang Đục Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2002-01-01,0
Bán Bố Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2007-01-01,0
Nam Na Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2013-01-01,0
Hồ Thác Mơ Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,1994-01-01,0
Lý Nhân Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2012-01-01,0
Hồ Cửa Đạt Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2010-01-01,0
Song Tranh 2 Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Huoi Hinh Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2011-01-01,0
Phước Hòa Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2013-01-01,0
Nho Quan Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2011-01-01,0
Hmamia Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2012-01-01,0
Dung Quang Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2013-01-01,0
Hồ Vĩnh Sơn 1 Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2000-01-01,0
A Lưới Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2014-01-01,0
Ba Rạch Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2011-01-01,0
Bà Hu Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2013-01-01,0
Lạc Lợi Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2011-01-01,0
Cây Sung Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2010-01-01,0
Nậm Lum Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2013-01-01,0
Hồ Phi Ly Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2008-01-01,0
Hồ Nà Lũng Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2013-01-01,0
Vĩnh Thạnh Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2012-01-01,0
Đa Krông Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2009-01-01,0
Đồng Nai 2 Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2013-01-01,0
Hải Thạch Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2010-01-01,0
Sông Ba Hạ Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2006-01-01,0
Hồ Rào Tảng Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2011-01-01,0
Hồ Đắk Mi 4 Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2015-01-01,0
Thung Lũng Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2012-01-01,0
Hồ Thác Mơ (Expansion) Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2005-01-01,0
Dầu Tiếng Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,1985-01-01,0
Hồ Na Hang Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,2002-01-01,0
Hồ Yên Mỹ Hydro (Note: This is a hydropower plant,included for completeness due to potential confusion with thermal plants if energy source is misrepresented),Hydro,Operational,1985-01-01,0
