name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhiệt điện Mông Dương 1,Coal,Operational,2015,Quảng Ninh,0,PDP8 Annex II,EVN Generation Corp 1,First large-scale domestic coal plant in the north
Nhiệt điện Mông Dương 2,Coal,Operational,2015,Quảng Ninh,0,PDP8 Annex II,MOIT BOT Registry,BOT project; transferred to Vietnamese state post-concession
Nhiệt điện Hải Phòng 1&2,Coal,Operational,2011–2014,Hải Phòng,0,PDP8 Annex II,EVN Annual Report 2022,Phased commissioning; environmental upgrades ongoing
Nhiệt điện Quảng Ninh 1&2,Coal,Operational,2010–2012,Quảng Ninh,0,PDP8 Annex II,EVN Generation Corp 1,Located near Mong Duong complex
Nhiệt điện Vĩnh Tân 2,Coal,Operational,2015,Bình Thuận,0,PDP8 Annex II,EVN Annual Report 2021,Key southern baseload plant
Nhiệt điện Vĩnh Tân 4,Coal,Operational,2018,Bình Thuận,0,PDP8 Annex II,MOIT Commissioning Notice,Expanded capacity for southern grid stability
Nhiệt điện Duyên Hải 1,Coal,Operational,2016,Trà Vinh,0,PDP8 Annex II,EVN Generation Corp 3,Mekong Delta baseload
Nhiệt điện Duyên Hải 3,Coal,Operational,2017,Trà Vinh,0,PDP8 Annex II,MOIT Operational Approval,Paired with Duyen Hai 1 complex
Nhiệt điện Nghi Sơn 1,Coal,Operational,2013,Thanh Hóa,0,PDP8 Annex II,EVN Annual Report 2020,North-central grid support
Nhiệt điện Nghi Sơn 2,Coal,Operational,2022,Thanh Hóa,0,PDP8 Annex II,MOIT BOT Registry,BOT; one of Vietnam's most efficient coal plants
Nhiệt điện Vũng Áng 1,Coal,Operational,2015,Hà Tĩnh,0,PDP8 Annex II,PVN Power Generation Report,Central region baseload
Nhiệt điện Thái Bình 2,Coal,Operational,Dec 2023,Thái Bình,0,PDP8 Annex II,PVN Commissioning Statement,Long-delayed; fully synchronized 2023
Nhiệt điện Long Phú 1,Coal,Under construction,2025 (exp),Sóc Trăng,0,PDP8 Annex II,MOIT Progress Bulletin,Repeated delays; contractor restructuring
Nhiệt điện Nam Định 1,Coal,Under construction,2026 (exp),Nam Định,0,PDP8 Annex II,MOIT Investment License,BOT; northern grid expansion
Nhiệt điện Phú Mỹ 1,Domestic gas,Operational,1997–2003,Bà Rịa–Vũng Tàu,0,PDP8 Annex II,EVN Generation Corp 3,Core of Phu My gas power hub
Nhiệt điện Phú Mỹ 2.1 & 2.2,Domestic gas,Operational,2001–2005,Bà Rịa–Vũng Tàu,0,PDP8 Annex II,EVN Annual Report 2022,Phased CCGT expansion
Nhiệt điện Phú Mỹ 3,Domestic gas,Operational,2004,Bà Rịa–Vũng Tàu,0,PDP8 Annex II,MOIT BOT Archive,Originally BOT; now state-managed
Nhiệt điện Nhơn Trạch 1,Domestic gas,Operational,2009,Đồng Nai,0,PDP8 Annex II,PVN Power Portfolio,Southern gas-fired baseload
Nhiệt điện Nhơn Trạch 2,Domestic gas,Operational,2011,Đồng Nai,0,PDP8 Annex II,PVN Annual Report 2021,High-efficiency CCGT
Nhiệt điện Cà Mau 1&2,Domestic gas,Operational,2008,Cà Mau,0,PDP8 Annex II,PVN Commissioning Notice,Southernmost major gas plant
Nhiệt điện Nhơn Trạch 3&4,Imported LNG,Under construction,2025–2026,Đồng Nai,0,PDP8 Annex II,MOIT LNG Project Approval,Vietnam's first utility-scale LNG-to-power plant
Nhiệt điện Sơn Mỹ 1,Imported LNG,Approved,2027–2028,Bình Thuận,0,PDP8 Annex II,MOIT Investment Planning,Part of Son My LNG hub; PDP8 priority project
Nhiệt điện Ô Môn 1,Domestic gas,Operational,2009–2015,Cần Thơ,0,PDP8 Annex II,EVN Mekong Report,Expanding to O Mon 2 (LNG) per PDP8
Nhiệt điện Hiệp Phước,Domestic gas / FO,Operational,1990s/2000s,TP. Hồ Chí Minh,0,PDP8 Annex II,HCMC DOST License,Older industrial plant; transitioning to cleaner gas
