name,fuel,status,cod,province,capacity_mwe
Mong Duong 1,Coal,Operational,2015,Quang Ninh,1080
Mong Duong 2,Coal,Operational,2016,Quang Ninh,1120
Duyen Hai 1,Coal,Operational,2016,Tra Vinh,1245
Duyen Hai 3,Coal,Operational,2016,Tra Vinh,1245
Vinh Tan 2,Coal,Operational,2014,Binh Thuan,1244
Vinh Tan 4,Coal,Operational,2017,Binh Thuan,1200
Nghi Son 1,Coal,Operational,2018,Thanh Hoa,600
Nghi Son 2,Coal,Operational,2020,Thanh Hoa,600
Hai Duong,Coal,Operational,2021,Hai Duong,1200
An Khanh,Coal,Operational,2018,Quang Ninh,300
Nghi Son Power,Coal,Operational,2013-2014,Thanh Hoa,1200
Vung Ang 1,Coal,Operational,2015,Ha Tinh,1200
Thai Binh 2,Coal,Operational,2023,Thai Binh,1200
Vinh Tan 1,Coal,Operational,2018,Binh Thuan,1200
Duyen Hai 2,Coal,Operational,2016,Tra Vinh,1200
Long Phu 1,Coal,Under Construction,Planned 2025-2026,Soc Trang,1200
Quang Trach 1,Coal,Under Construction,Planned 2025,Quang Binh,1200
Van Phong 1,Coal,Under Construction,Planned 2025,Khanh Hoa,1320
Song Hau 1,Coal,Operational,2021,Hau Giang,1200
Quynh Lap 1,Coal,Planned,Planned after 2025,Nghe An,1200
Phu My 1-4,Local Natural Gas,Operational,2000-2005,Ba Ria - Vung Tau,4100
Nhon Trach 1,Local Natural Gas,Operational,2009,Dong Nai,450
Nhon Trach 2,Local Natural Gas,Operational,2011,Dong Nai,750
Phu My 2.2,Local Natural Gas,Operational,2005,Ba Ria - Vung Tau,715
Ca Mau 1 & 2,Local Natural Gas,Operational,2008-2009,Ca Mau,1500
O Mon 3,Local Natural Gas,Operational,2016,Can Tho,1050
O Mon 4,Local Natural Gas,Operational,2016,Can Tho,1050
Nhon Trach 3 & 4,Local Natural Gas,Under Construction,Planned 2025-2026,Dong Nai,1500
Son My 1,Imported LNG,Planned,Planned 2027-2028,Binh Thuan,2250
Son My 2,Imported LNG,Under Development,Planned after 2030,Binh Thuan,2250
Thi Vai LNG,Imported LNG,Operational (Regasification),2024,Ba Ria - Vung Tau,1000
Nhon Trach 3 & 4 (Converted),Imported LNG,Under Construction,Planned 2025-2026,Dong Nai,1500
Bac Lieu LNG,Imported LNG,Under Construction,Planned 2027,Bac Lieu,3200
Quang Ninh LNG,Imported LNG,Planned,Planned after 2030,Quang Ninh,1500
Chan May LNG,Imported LNG,Planned,Planned after 2030,Thua Thien Hue,4000
Ca Na LNG,Imported LNG,Planned,Planned after 2030,Ninh Thuan,1500
Long Son LNG,Imported LNG,Planned,Planned after 2030,Ba Ria - Vung Tau,3500
```,,,,,0
**Important Notes and Data Sources:**,,,,,0
*   **Data Consolidation:** This table consolidates information from multiple public sources,including Vietnam's Power Development Plan VIII (PDP8) updates,government reports (EVN,MOIT),and news from reputable energy industry publications (e.g.,0
*   **Accuracy & Timelines:** Project status and COD dates,"especially for ""Planned"" and ""Under Construction"" plants",are subject to significant change due to financing,regulatory approvals,and construction delays. Dates should be considered estimates.,0
*   **Capacity Figures:** Capacities are typically listed as net capacity in Megawatts electric (MWe). For large multi-unit plants,the total combined capacity is shown.,,,,0
"*   **Natural Gas vs. LNG:** ""Local Natural Gas"" refers to plants using domestic offshore gas. ""Imported LNG"" plants are designed for liquefied natural gas. Some plants (e.g.",Nhon Trach 3&4) are being developed with dual-fuel capability to eventually switch from local gas to LNG.,,,,0
*   **Not Exhaustive:** The list focuses on major utility-scale power plants. Smaller industrial plants and older,less significant units may not be included.,,,,0
*   **PDP8 Focus:** The list strongly reflects projects prioritized in Vietnam's PDP8 (2021-2030,vision to 2050),which emphasizes a shift from coal to gas/LNG as a transition fuel.,,,0
