name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy nhiệt điện An Khánh,Coal,Operational,2016–2017,Ninh Thuận,0,[EVN Annual Report 2022](https://evn.com.vn),[MOIT PDP8](https://moit.gov.vn),
Nhà máy nhiệt điện Bà Rịa,Domestic gas,Operational,2010–2011,Bà Rịa-Vũng Tàu,0,[PVN Report 2021](https://pvn.vn),[MOIT](https://moit.gov.vn),
Nhà máy nhiệt điện Cà Mau 1,Domestic gas,Operational,2012–2013,Cà Mau,0,[PVN](https://pvn.vn),[EVN](https://evn.com.vn),
Nhà máy nhiệt điện Cà Mau 2,Domestic gas,Operational,2019,Cà Mau,0,[PVN](https://pvn.vn),[MOIT PDP8](https://moit.gov.vn),
Nhà máy nhiệt điện Cẩm Phả 1,Coal,Operational,2011–2012,Quảng Ninh,0,[Vinacomin](https://vinacomin.vn),[MOIT](https://moit.gov.vn),
Nhà máy nhiệt điện Cẩm Phả 2,Coal,Operational,2014–2015,Quảng Ninh,0,[Vinacomin](https://vinacomin.vn),[EVN](https://evn.com.vn),
Nhà máy nhiệt điện Cẩm Phả 3,Coal,Under construction,2024–2025,Quảng Ninh,0,[Vinacomin](https://vinacomin.vn),[PDP8](https://moit.gov.vn),Delayed from 2023
Nhà máy nhiệt điện Dung Quất 1,Coal,Operational,2010–2011,Quảng Ngãi,0,[EVN](https://evn.com.vn),[MOIT](https://moit.gov.vn),
Nhà máy nhiệt điện Dung Quất 2,Coal,Planned,2026–2027,Quảng Ngãi,0,[PDP8](https://moit.gov.vn),[EVN](https://evn.com.vn),PDP8 inclusion
Nhà máy nhiệt điện Duyên Hải 1,Coal,Operational,2013–2014,Trà Vinh,0,[EVN](https://evn.com.vn),[MOIT](https://moit.gov.vn),
Nhà máy nhiệt điện Duyên Hải 2,Coal,Operational,2015,Trà Vinh,0,[EVN](https://evn.com.vn),[MOIT](https://moit.gov.vn),
