name,fuel,status,cod,province,capacity_mwe
Van Phong 1 Thermal Power Plant,432,Coal,Operating,Khanh Hoa,1
Vung Ang II Thermal Power Plant,330,Coal,2025-2026,Ha Tinh,1
Na Duong II Thermal Power Plant,Coal,Pre-construction stage,2026,Lang Son,110
Quang Trach I Thermal Power Plant,403,Coal,Under construction,Quang Binh,1
An Khanh - Bac Giang Thermal Power Plant,Coal,2027,,Bac Giang,650
Long Phu 1 Thermal Power Plant,200,Coal,2027,Soc Trang,1
Quang Tri Thermal Power Plant (\),320,Coal,Suspended,Quang Tri,1
Cong Thanh Thermal Power (\),Coal,Proposed LNG conversion,-,Thanh Hoa,600
Nam Dinh I Thermal Power Plant,200,Coal,-,Nam Dinh,1
Vinh Tan III Thermal Power Plant,980,Coal,-,Binh Thuan,1
Song Hau II Thermal Power Plant,120,Coal,-,Hau Giang,2
Nhon Trach 3 & 4 LNG Power Plants,624,LNG,Under construction,Dong Nai,1
Hiep Phuoc LNG phase 1 (Ho Chi Minh City),200,LNG,2025,Ho Chi Minh City,1
BOT Son My I (Binh Thuan Province),250,LNG,2027-2029,Binh Thuan,2
LNG Son My II,250,LNG,Proposed,Binh Thuan,2
LNG Long Son,500,LNG,Proposed,Baria-Vung Tau,1
LNG Nhon Trach,500,LNG,Proposed,Dong Nai,1
LNG Hiep Phuoc 2,500,LNG,Proposed,Ho Chi Minh City,1
LNG Long An I,500,LNG,Proposed,Long An,1
LNG Long An II,500,LNG,Proposed,Long An,1
LNG Bac Lieu,LNG,2025,,Bac Lieu,800
LNG Thai Binh,500,LNG,Proposed,Thai Binh,1
LNG Nghi Son,500,LNG,Proposed,Thanh Hoa,1
LNG Quynh Lap,500,LNG,Proposed,Nghe An,1
LNG Quang Trach 2,500,LNG,Proposed,Quang Binh,1
LNG Quang Ninh I,500,LNG,Proposed,Quang Ninh,1
LNG Hai Lang,500,LNG,Proposed,Quang Tri,1
LNG Chan May (Thua Thien Hue),LNG,Proposed,-,Thua Thien Hue,1500
LNG Ca Na,500,LNG,Proposed,Ninh Thuan,1
LNG O Mon I,Local Natural Gas,Operating,-,Can Tho,660
O Mon II / Can Tho City,050,LNG,Proposed,Can Tho,1
O Mon III / Can Tho City,500,LNG,Proposed,Can Tho,1
Quang Trach II / Quang Binh Province,500,LNG,Proposed,Quang Binh,1
Ca Na LNG / Ninh Thuan Province,500,LNG,Proposed,Ninh Thuan,1
Nghi Son LNG / Thanh Hoa Province,500,LNG,Proposed,Thanh Hoa,1
Quynh Lap LNG / Nghe An Province,500,LNG,Proposed,Nghe An,1
LNG Quang Trach 3,-,,,Quang Binh,0
