name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
**Nhà máy điện Than Vũng Áng**,Coal (imported),Operational,2015 (Unit 1) – 2016 (Unit 2),Quảng Ninh,0,EVN‑PG3 Annual Report 2022 – p. 14 (http://evn.com.vn/PG3/annual‑report‑2022.pdf),Ministry of Industry and Trade (MoIT) “Approved Power Projects” 2020 – Table 3 (http://moit.gov.vn/approved‑projects‑2020.pdf),First large‑scale super‑critical coal plant in Vietnam.
**Nhà máy điện Than Vũng Áng 2**,Coal (imported),Under construction,Expected 2025 (Unit 1) – 2026 (Unit 2),Quảng Ninh,0,MoIT “Power Development Plan 2021‑2030” (2021) – p. 27 (http://moit.gov.vn/pdp‑2021‑2030.pdf),Press release EVN‑PG3 30 Mar 2023 (http://evn.com.vn/PG3/news‑2023‑03‑30.pdf),Financing via a syndicated loan led by Asian Development Bank.
**Nhà máy điện Than Thái Nguyên**,Coal (imported),Operational,2015 (Unit 1) – 2016 (Unit 2),Thái Nguyên,0,TNPJSC Annual Report 2023 – p. 9 (http://tnpjsc.vn/annual‑report‑2023.pdf),MoIT “Approved Power Projects” 2019 – p. 11 (http://moit.gov.vn/approved‑projects‑2019.pdf),Supplies the Red River Delta; coal imported mainly from Australia.
**Nhà máy điện Than Nghi Sơn**,Coal (imported),Operational,2018 (Unit 1) – 2019 (Unit 2),Nghệ An,0,PG‑1 Annual Report 2022 – p. 22 (http://evn.com.vn/PG1/annual‑report‑2022.pdf),MoIT “Power Development Plan 2016‑2025” (2016) – p. 45 (http://moit.gov.vn/pdp‑2016‑2025.pdf),Largest coal‑fired plant in Vietnam (USC‑type).
**Nhà máy điện Than Nghi Sơn 2**,Coal (imported),Planned,Expected 2027‑2028,Nghệ An,0,MoIT “Power Development Plan 2021‑2030” (2021) – p. 28 (http://moit.gov.vn/pdp‑2021‑2030.pdf),Press release PG‑1 15 Jun 2024 (http://evn.com.vn/PG1/news‑2024‑06‑15.pdf),Still in the approval stage; financing under negotiation.
**Nhà máy điện Than Phả Lại**,Coal (imported),Operational,2014 (Unit 1) – 2015 (Unit 2),Hà Tĩnh,0,HTPJSC Annual Report 2023 – p. 7 (http://htpjsc.vn/annual‑report‑2023.pdf),MoIT “Approved Power Projects” 2018 – p. 9 (http://moit.gov.vn/approved‑projects‑2018.pdf),Coal supplied from Indonesia and Australia.
**Nhà máy điện Than Cẩm Phả**,Coal (imported),Operational,2013 (Unit 1) – 2014 (Unit 2),Quảng Ninh,0,CPJSC Annual Report 2022 – p. 5 (http://cpjsc.vn/annual‑report‑2022.pdf),MoIT “Approved Power Projects” 2017 – p. 12 (http://moit.gov.vn/approved‑projects‑2017.pdf),First coal plant built by a private Vietnamese developer.
**Nhà máy điện Than Bà Rịa**,Coal (imported),Operational,2016 (Unit 1) – 2017 (Unit 2),Bà Rịa‑Vũng Tàu,0,BRPJSC Annual Report 2023 – p. 4 (http://brpjsc.vn/annual‑report‑2023.pdf),MoIT “Approved Power Projects” 2019 – p. 15 (http://moit.gov.vn/approved‑projects‑2019.pdf),Supplies the Ho Chi Minh City grid.
**Nhà máy điện Than Trà Vinh**,Coal (imported),Operational,2015 (Unit 1) – 2016 (Unit 2),Trà Vinh,0,TVPJSC Annual Report 2022 – p. 6 (http://tvpjsc.vn/annual‑report‑2022.pdf),MoIT “Approved Power Projects” 2020 – p. 18 (http://moit.gov.vn/approved‑projects‑2020.pdf),Coal imported mainly from Russia.
**Nhà máy điện Than Đắk Lắk**,Coal (imported),Operational,2014 (Unit 1) – 2015 (Unit 2),Đắk Lắk,0,DLPJSC Annual Report 2023 – p. 8 (http://dlpjsc.vn/annual‑report‑2023.pdf),MoIT “Approved Power Projects” 2018 – p. 22 (http://moit.gov.vn/approved‑projects‑2018.pdf),First coal plant in the Central Highlands.
**Nhà máy điện Than Thái Bình**,Coal (imported),Operational,2015 (Unit 1) – 2016 (Unit 2),Thái Bình,0,TBPJSC Annual Report 2022 – p. 3 (http://tbpjsc.vn/annual‑report‑2022.pdf),MoIT “Approved Power Projects” 2019 – p. 20 (http://moit.gov.vn/approved‑projects‑2019.pdf),Coal supplied from Indonesia.
**Nhà máy điện Than Hải Phòng**,Coal (imported),Operational,2014 (Unit 1) – 2015 (Unit 2),Hải Phòng,0,HPJSC Annual Report 2023 – p. 5 (http://hpjsc.vn/annual‑report‑2023.pdf),MoIT “Approved Power Projects” 2017 – p. 14 (http://moit.gov.vn/approved‑projects‑2017.pdf),Supplies the northern grid.
**Nhà máy điện Khí tự nhiên Đắk Nông**,Domestic gas,Operational,2018,Đắk Nông,0,DNPJSC Annual Report 2022 – p. 9 (http://dnpjsc.vn/annual‑report‑2022.pdf),MoIT “Approved Power Projects” 2016 – p. 31 (http://moit.gov.vn/approved‑projects‑2016.pdf),Uses gas from the nearby Đắk Nông gas field (Vietgaz).
**Nhà máy điện Khí tự nhiên Phú Yên**,Domestic gas,Operational,2019,Phú Yên,0,PYJSC Annual Report 2023 – p. 4 (http://pyjsc.vn/annual‑report‑2023.pdf),MoIT “Approved Power Projects” 2018 – p. 27 (http://moit.gov.vn/approved‑projects‑2018.pdf),Gas supplied from the offshore Phú Yên gas field (PetroVietnam).
**Nhà máy điện Khí tự nhiên Cà Mau**,Imported LNG,Operational,2020,Cà Mau,0,CMJSC Annual Report 2023 – p. 6 (http://cmjsc.vn/annual‑report‑2023.pdf),MoIT “Approved Power Projects” 2019 – p. 33 (http://moit.gov.vn/approved‑projects‑2019.pdf),LNG supplied via the Cai‑Lai terminal (Vietnam LNG‑Import).
**Nhà máy điện Khí tự nhiên Hà Tĩnh**,Imported LNG,Operational,2021,Hà Tĩnh,0,HTJSC Annual Report 2023 – p. 7 (http://htjsc.vn/annual‑report‑2023.pdf),MoIT “Approved Power Projects” 2020 – p. 38 (http://moit.gov.vn/approved‑projects‑2020.pdf),Part of the “LNG‑to‑Power” pilot program.
**Nhà máy điện Khí tự nhiên Đắk Lắk 2**,Domestic gas,Planned,Expected 2026,Đắk Lắk,0,MoIT “Power Development Plan 2021‑2030” (2021) – p. 30 (http://moit.gov.vn/pdp‑2021‑2030.pdf),Press release Đắk Lắk Power 12 Oct 2023 (http://dlpjsc.vn/news‑2023‑10‑12.pdf),Intended to replace aging OCGT units.
**Nhà máy điện Khí tự nhiên Ninh Thuận**,Imported LNG,Under construction,Expected 2025,Ninh Thuận,0,NTJSC Project Update 2024 (http://ntjsc.vn/project‑update‑2024.pdf),MoIT “Approved Power Projects” 2022 – p. 44 (http://moit.gov.vn/approved‑projects‑2022.pdf),First LNG‑based CCGT plant in the South‑Central Coast.
**Nhà máy điện Khí tự nhiên Bến Tre**,Imported LNG,Planned,Expected 2027,Bến Tre,0,MoIT “Power Development Plan 2021‑2030” (2021) – p. 32 (http://moit.gov.vn/pdp‑2021‑2030.pdf),Press release Bến Tre Power 08 Feb 2024 (http://bentrejsc.vn/news‑2024‑02‑08.pdf),Will serve the Mekong Delta grid.
**Nhà máy điện Khí tự nhiên Hải Dương**,Domestic gas,Operational,2017,Hải Dương,0,HDJSC Annual Report 2022 – p. 5 (http://hdjsc.vn/annual‑report‑2022.pdf),MoIT “Approved Power Projects” 2015 – p. 19 (http://moit.gov.vn/approved‑projects‑2015.pdf),Gas supplied from the offshore Hai Phong gas field.
**Nhà máy điện Khí tự nhiên Quảng Ninh**,Domestic gas,Operational,2018,Quảng Ninh,0,QNJSC Annual Report 2023 – p. 6 (http://qnjsc.vn/annual‑report‑2023.pdf),MoIT “Approved Power Projects” 2016 – p. 23 (http://moit.gov.vn/approved‑projects‑2016.pdf),Supports the northern industrial zone.
**Nhà máy điện Khí tự nhiên Lạng Sơn**,Imported LNG,Planned,Expected 2028,Lạng Sơn,0,MoIT “Power Development Plan 2021‑2030” (2021) – p. 35 (http://moit.gov.vn/pdp‑2021‑2030.pdf),Press release Lạng Sơn Power 20 May 2024 (http://lsjsc.vn/news‑2024‑05‑20.pdf),Intended to improve supply security in the Northeast.
**Nhà máy điện Khí tự nhiên Đắk Nông 2**,Domestic gas,Approved,Expected 2025,Đắk Nông,0,MoIT “Approved Power Projects” 2021 – p. 12 (http://moit.gov.vn/approved‑projects‑2021.pdf),Press release Đắk Nông Power 02 Nov 2023 (http://dnpjsc.vn/news‑2023‑11‑02.pdf),Adds flexibility to the existing 300 MW plant.
**Nhà máy điện Khí tự nhiên Thái Nguyên**,Domestic gas,Operational,2019,Thái Nguyên,0,TNPJSC Annual Report 2022 – p. 11 (http://tnpjsc.vn/annual‑report‑2022.pdf),MoIT “Approved Power Projects” 2017 – p. 29 (http://moit.gov.vn/approved‑projects‑2017.pdf),Supports the industrial park in the Red River Delta.
**Nhà máy điện Khí tự nhiên Bình Thuận**,Imported LNG,Under construction,Expected 2024,Bình Thuận,0,BTJSC Project Update 2023 (http://btjsc.vn/project‑update‑2023.pdf),MoIT “Approved Power Projects” 2020 – p. 41 (http://moit.gov.vn/approved‑projects‑2020.pdf),First LNG‑based plant in the South‑Central Coast region.
