name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Uông Bí 1,Coal,Decommissioned,1975,Quảng Ninh,105.0,EVN_AR_2010,PDP8_2023,Original 105MW unit retired per PDP8
Uông Bí 2,Coal,Operational,2010,Quảng Ninh,330.0,EVN_AR_2010,EVN_AR_2017,"Extension unit 2, 330MW"
Phả Lại 1,Coal,Operational,1986,Hải Dương,440.0,EVN_AR_2010,EVN_AR_2017,Four 110MW subcritical units
Phả Lại 2,Coal,Operational,2001,Hải Dương,600.0,EVN_AR_2010,EVN_AR_2017,Two 300MW subcritical units
Hải Phòng 1,Coal,Operational,1985,Hải Phòng,300.0,EVN_AR_2010,EVN_AR_2017,"Original 4x50MW + 2x50MW, now 300MW"
Hải Phòng 2,Coal,Operational,2014,Hải Phòng,600.0,EVN_AR_2017,EVN_AR_2018,Two 300MW supercritical units
Hải Phòng 3,Coal,Permitted,2028,Hải Phòng,1200.0,PDP8_2023,Report_58_2020,"2x600MW USC, delayed from 2025-26"
Quảng Ninh 1,Coal,Operational,2009,Quảng Ninh,600.0,EVN_AR_2010,EVN_AR_2017,Two 300MW supercritical units
Quảng Ninh 2,Coal,Operational,2014,Quảng Ninh,600.0,EVN_AR_2017,EVN_AR_2018,Two 300MW supercritical units
Quảng Ninh 3,Coal,Proposed,2030,Quảng Ninh,1200.0,PDP7_2011,PDP8_2023,"2x600MW USC, per PDP7 plan"
Ninh Bình,Coal,Decommissioned,1975,Ninh Bình,100.0,EVN_AR_2010,PDP8_2023,Retired 100MW unit per PDP8
Thái Bình 1,Coal,Operational,2018,Thái Bình,600.0,PDP7A_2016,Report_32_2019,"2x300MW supercritical, operational 2018"
Thái Bình 2,Coal,Under construction,2021,Thái Bình,600.0,PDP7A_2016,Report_58_2020,"2x300MW, delayed from 2017-18"
Vĩnh Tân 1,Coal,Operational,2019,Bình Thuận,1200.0,PDP7_2011,Report_32_2019,"2x600MW BOT, completed 2019"
Vĩnh Tân 2,Coal,Operational,2015,Bình Thuận,1244.0,EVN_AR_2017,EVN_AR_2018,"2x622MW, operational"
Vĩnh Tân 3,Coal,Financed,2025,Bình Thuận,1980.0,PDP7A_2016,PDP8_2023,"3x660MW USC, delayed from 2022-23"
Vĩnh Tân 4,Coal,Operational,2018,Bình Thuận,1200.0,PDP7A_2016,Report_32_2019,"2x600MW, operational 2018"
Vĩnh Tân 4MR,Coal,Operational,2020,Bình Thuận,600.0,Report_32_2019,Report_58_2020,"600MW extension, operational 2020"
Duyên Hải 1,Coal,Operational,2014,Trà Vinh,1244.0,EVN_AR_2017,EVN_AR_2018,"2x622MW, operational"
Duyên Hải 2,Coal,Under construction,2022,Trà Vinh,1200.0,PDP7A_2016,Report_58_2020,"2x600MW BOT, delayed from 2021"
Duyên Hải 3,Coal,Operational,2017,Trà Vinh,1244.0,PDP7A_2016,Report_32_2019,"2x622MW, operational 2017"
Duyên Hải 3MR,Coal,Operational,2019,Trà Vinh,660.0,Report_32_2019,Report_58_2020,"660MW expansion, operational 2019"
Mông Dương 1,Coal,Operational,2015,Quảng Ninh,1080.0,EVN_AR_2017,EVN_AR_2018,"2x540MW, operational"
Mông Dương 2,Coal,Operational,2015,Quảng Ninh,1200.0,PDP7_2011,Report_32_2019,"2x600MW BOT, operational 2015"
Mông Dương 3,Coal,Proposed,2028,Quảng Ninh,1200.0,PDP8_2023,Study_E542_2020,"2x600MW USC, per PDP8"
Sông Hậu 1,Coal,Under construction,2022,Hậu Giang,1200.0,PDP7A_2016,Report_58_2020,"2x600MW, severely delayed from 2019"
Sông Hậu 2,Coal,Proposed,2027,Hậu Giang,2000.0,PDP7A_2016,PDP8_2023,"2x1000MW, delayed from 2021-22"
Sông Hậu 3,Coal,Proposed,2029,Hậu Giang,2000.0,PDP7_2011,Study_E542_2020,"2x1000MW, per PDP7"
Long Phú 1,Coal,Suspended,2023,Sóc Trăng,1200.0,PDP7A_2016,Report_58_2020,"2x600MW, 78% complete, US sanctions halted progress"
Long Phú 2,Coal,Cancelled,Sóc Trăng,1320,0,PDP8_2023,,PDP7A_2016
Long Phú 3,Coal,Proposed,2028,Sóc Trăng,1800.0,PDP7_2011,PDP8_2023,"3x600MW, developer changed to Banpu"
Vũng Áng 1,Coal,Operational,2013,Hà Tĩnh,1200.0,PDP7_2011,Report_32_2019,"2x600MW, operational 2013"
