Name,Province,Fuel,Capacity,Status,COD Year,Sources
An Khánh - Bắc Giang,Bắc Giang,Coal (Local),650,Constructing,2023,"[1,2]"
Amata,Đồng Nai,Diesel,14,Operational,2010,[3]
Bạc Liêu LNG,Bạc Liêu,LNG,3200,Planned,2026-2027,"[1,4]"
Bà Rịa,Bà Rịa - Vũng Tàu,Natural Gas,389,Operational,1995,"[5,6]"
Bà Rịa 2,Bà Rịa - Vũng Tàu,LNG,1200,Planned,2030,[4]
Bourbon,Unknown,Oil,24,Retired,2011,[3]
Cà Mau 1&2,Cà Mau,Natural Gas,1500,Operational,2008,"[5,6]"
Cà Mau 1-3,Cà Mau,LNG,4500,Planned,2030,[4]
Cái Mép H,Bà Rịa - Vũng Tàu,LNG,6000,Proposed,2030,[4]
Cần Thơ,Cần Thơ,Oil/Gas,188,Retired,2011,"[3,5]"
Cẩm Phả,Quảng Ninh,Coal (Local),600,Operational,2010,"[5,6]"
Cẩm Phả III,Quảng Ninh,Coal (Local),440,Canceled,2020,"[1,2]"
Cao Ngạn,Thái Nguyên,Coal (Local),115,Operational,2011,[3]
Công Thanh,Thanh Hóa,Coal (Import),600,Planned,2024,"[1,2]"
Dầm Phú Mỹ,Bà Rịa - Vũng Tàu,Natural Gas,21,Operational,2010,[3]
Đức Giang,Unknown,Natural Gas,100,Planned,2025,[1]
Dung Quất I-III,Quảng Ngãi,Natural Gas,2250,Planned,2024-2026,"[1,4]"
Duyên Hải I,Trà Vinh,Coal (Import),1244,Operational,2016,"[5,6]"
Duyên Hải II,Trà Vinh,Coal (Import),1320,Constructing,2021-2022,"[1,2]"
Duyên Hải III,Trà Vinh,Coal (Import),1245,Operational,2017,"[5,6]"
Duyên Hải III MR,Trà Vinh,Coal (Import),660,Operational,2019,"[5,6]"
Formosa Đồng Nai,Đồng Nai,Coal (Import),150,Operational,2016,[7]
Formosa Hà Tĩnh 1,Hà Tĩnh,Coal (Import),650,Operational,2020,"[1,2]"
Formosa Hà Tĩnh 2,Hà Tĩnh,Coal (Import),650,Planned,2025,"[1,2]"
Hải Dương,Hải Dương,Coal (Import),1200,Operational,2021,"[1,2]"
Hải Hà 1,Quảng Ninh,Coal (Import),300,Operational,2019,"[1,2]"
Hải Hà 2,Quảng Ninh,Coal (Import),750,Planned,2022,"[1,2]"
Hải Hà 3,Quảng Ninh,Coal (Import),600,Planned,2025,"[1,2]"
Hải Hà 4,Quảng Ninh,Coal (Import),600,Planned,2028,"[1,2]"
Hải Phòng I,Hải Phòng,Coal (Local),600,Operational,2011,"[5,6]"
Hải Phòng II,Hải Phòng,Coal (Local),600,Operational,2014,"[5,6]"
Hải Phòng III,Hải Phòng,Coal (Import),2400,Planned,2028-2029,"[1,2]"
Hiệp Phước,TP Hồ Chí Minh,Oil,375,Retired,2019,[3]
Hiệp Phước LNG I&II,TP Hồ Chí Minh,LNG,1200,Planned,2025-2026,"[1,4]"
Hòa Phát II,Unknown,Natural Gas,300,Planned,2025,[1]
Long An I&II,Long An,LNG,3000,Planned,2025-2027,"[1,4]"
Long Phú I,Sóc Trăng,Coal (Import),1200,Suspended,2023,"[1,2]"
Long Phú II,Sóc Trăng,Coal (Import),1320,Planned,2029,"[1,2]"
Long Phú III,Sóc Trăng,Coal (Import),1800,Planned,2030,"[1,2]"
Long Sơn I,Bà Rịa - Vũng Tàu,LNG,1500,Planned,2031-2035,"[1,4]"
Long Sơn II&III,Bà Rịa - Vũng Tàu,LNG,3200,Planned,2035,[4]
Long Sơn IV,Bà Rịa - Vũng Tàu,LNG,3600,Proposed,2035,[4]
Mạo Khê,Quảng Ninh,Coal (Local),440,Canceled,2013,[7]
Mông Dương I,Quảng Ninh,Coal (Local),1080,Operational,2015,"[5,6]"
