name,fuel,status,cod,province,capacity_mwe
An Khanh - Bac Giang,coal,,2023,Bac Giang,650.0
Ba Ria,gas,operational,<=2011,Ba Ria-Vung Tau,389.0
Bac Lieu LNG,imported lng,planned,2021-2030,Bac Lieu,3200.0
Ca Mau 1,gas,operational,<=2011,Ca Mau,750.0
Ca Mau 2,gas,operational,<=2011,Ca Mau,750.0
Ca Na LNG,imported lng,planned,2021-2030,Ninh Thuan,1500.0
Cam Pha,coal,operational,<=2011,Quang Ninh,600.0
Can Tho GT,gas,operational,2017,Cần Thơ,150.0
Cao Ngan,coal,operational,<=2011,Thai Nguyen,115.0
Cong Thanh,coal,,2024-2026,Thanh Hoa,600.0
Dung Quat 1,gas,,2024,Quang Ngai,750.0
Dung Quat 2,gas,,2026,Quang Ngai,750.0
Dung Quat 3,gas,planned,2024-2025,Quang Ngai,750.0
Duyen Hai 1,coal,operational,2014,Tra Vinh,1245.0
Duyen Hai 3,coal,operational,2016-2017,Tra Vinh,1245.0
Duyen Hai 3 Extension,coal,operational,2019,Tra Vinh,660.0
Formosa Ha Tinh 1,coal,operational,<=2011,Ha Tinh,150.0
Formosa Ha Tinh 2,coal,,2020,Ha Tinh,650.0
Hai Lang LNG Phase 1,imported lng,planned,2021-2030,Quang Tri,1500.0
Hai Phong 1,coal,operational,<=2011,Hai Phong,600.0
Hai Phong 2,coal,operational,2014,Hai Phong,600.0
Hai Phong 3,coal,,2028-2029,Hai Phong,1200.0
Hiep Phuoc LNG Phase I,imported lng,planned,2021-2030,Ho Chi Minh City,1200.0
Long An I LNG,imported lng,planned,2021-2030,Long An,1500.0
Long An II LNG,imported lng,,2031-2035,Long An,1500.0
Long Phu 1,coal,,2026?,Soc Trang,1200.0
Long Phu 2,coal,,2029-2030,Soc Trang,1320.0
Long Phu 3,coal,,unknown,Soc Trang,1800.0
Long Son LNG,imported lng,,2031-2035,Ba Ria-Vung Tau,1500.0
Mien Trung 1,gas,,2024-2025,Quang Ngai or Quang Tri,750.0
Mien Trung 2,gas,,2024-2025,Quang Ngai or Quang Tri,750.0
Mong Duong 1,coal,operational,2016-2017,Quang Ninh,1080.0
Mong Duong 2,coal,operational,2015,Quang Ninh,1200.0
Na Duong,coal,operational,<=2011,Lang Son,111.0
Na Duong 2,coal,,2022-2023,Lang Son,110.0
Nam Dinh 1,coal,,2024-2025,Nam Dinh,1200.0
Nghi Son 1,coal,operational,2014,Thanh Hoa,600.0
Nghi Son 2,coal,,2022,Thanh Hoa,1200.0
Nghi Son LNG,imported lng,planned,2021-2030,Thanh Hoa,1500.0
Nhon Trach 1,gas,operational,<=2011,Dong Nai,465.0
Nhon Trach 2,gas,operational,2011,Dong Nai,750.0
Nhon Trach 3,imported lng,constructing,2023-2024,Dong Nai,812.0
Nhon Trach 4,imported lng,constructing,2023-2024,Dong Nai,812.0
Ninh Binh,coal,operational,<=2011,Ninh Binh,100.0
O Mon 1,oil,operational,2017,Cần Thơ,660.0
O Mon 2,gas,planned,2021-2030,Can Tho,1050.0
O Mon 3,gas,,2025,Can Tho,1050.0
O Mon 4,gas,,2023,Can Tho,1050.0
Pha Lai 1,coal,operational,2017,Hải Dương,440.0
Pha Lai 2,coal,operational,2017,Hải Dương,600.0
Phu My 1,gas,operational,<=2011,Ba Ria-Vung Tau,1108.0
Phu My 2.1,gas,operational,<=2011,Ba Ria-Vung Tau,945.0
Phu My 4,gas,operational,<=2011,Ba Ria-Vung Tau,477.0
Quang Ninh 1,coal,operational,<=2011,Quang Ninh,600.0
Quang Ninh 2,coal,operational,2015,Quang Ninh,600.0
Quang Ninh LNG,imported lng,planned,2021-2030,Quang Ninh,1500.0
Quang Trach 1,coal,constructing,2024-2025,Quang Binh,1403.0
Quang Trach 2,coal,planned,2026,Quang Binh,1200.0
Quang Trach II LNG,imported lng,planned,2021-2030,Quang Binh,1500.0
Quynh Lap / Nghi Son LNG,imported lng,planned,2021-2030,Nghe An / Thanh Hoa,1500.0
Quynh Lap 1,coal,,2026,Nghe An,1200.0
Quynh Lap 2,coal,,2027-2028,Nghe An,1200.0
Son Dong,coal,operational,<=2011,Bac Giang,220.0
Song Hau 2,coal,,2027,Hau Giang,2120.0
Thai Binh 1,coal,operational,2017,Thai Binh,600.0
Thai Binh 2,coal,,2021,Thai Binh,1200.0
Thai Binh LNG,imported lng,planned,2021-2030,Thai Binh,1500.0
Uong Bi,coal,operational,<=2011,Quang Ninh,105.0
Uong Bi Extension 1,coal,operational,2017,Quang Ninh,300.0
Uong Bi Extension 2,coal,operational,<=2011,Quang Ninh,330.0
Van Phong 1,coal,,2023-2024,Khanh Hoa,1432.0
Vinh Tan 2,coal,operational,2014,Binh Thuan,1244.0
Vinh Tan 3,coal,,2024-2025,Binh Thuan,1980.0
Vinh Tan 4,coal,operational,2018,Binh Thuan,1200.0
Vung Ang 2,coal,,2026,Ha Tinh,1330.0
