name,fuel,status,cod,province,capacity_mwe
Amata,,operational,2011-12-31,Đồng Nai,14.0
An Khanh - Bac Giang,coal,,2023,Bac Giang,650.0
An Khánh - Bắc Giang,coal,constructing,2021-2030,Bắc Giang,650.0
Ba Ria,gas,operational,<=2011,Ba Ria-Vung Tau,389.0
Bac Giang thermal plant,coal,planned,2026-2027,Bac Giang,300.0
Bac Lieu LNG,imported lng,planned,2021-2030,Bac Lieu,3200.0
Ben Tre LNG,,planned,2035,Ben Tre,3000.0
Bourbon,oil,operational,2011-12-31,Tây Ninh,24.0
Bà Rịa,gas,operational,2011-12-31,Bà Rịa-Vũng Tàu,389.0
Ca Mau 1,gas,operational,<=2011,Ca Mau,750.0
Ca Mau 2,gas,operational,<=2011,Ca Mau,750.0
Ca Mau LNG,,planned,2030,Ca Mau,3000.0
Ca Na LNG,imported lng,planned,2021-2030,Ninh Thuan,1500.0
Cam Pha,coal,operational,<=2011,Quang Ninh,600.0
Cam Pha 3,coal,planned,2020,Quang Ninh,440.0
Can Tho,,operational,2011-12-31,Can Tho,150.0
Can Tho (S4),oil,operational,2018,Cần Thơ,33.0
Can Tho Gas Turbine,,operational,2018,Can Tho,155.0
Can Tho GT,gas,operational,2017,Cần Thơ,150.0
Cao Ngan,coal,operational,<=2011,Thai Nguyen,115.0
Cao Ngạn,coal,operational,2011-12-31,Thái Nguyên,115.0
Chan May LNG,,planned,2035,Thua Thien Hue,1500.0
Cong Thanh,coal,,2024-2026,Thanh Hoa,600.0
Cà Mau I,gas,operational,2011-12-31,Cà Mau,750.0
Cà Mau II,gas,operational,2011-12-31,Cà Mau,750.0
Cần Thơ,oil,operational,2011-12-31,Cần Thơ,33.0
Cần Thơ GT,gas,operational,2011-12-31,Cần Thơ,150.0
Cẩm Phả,coal,operational,2011-12-31,Quảng Ninh,600.0
Cẩm Thanh,coal,,2021-2030,Thanh Hóa,600.0
Duc Giang cogeneration,coal,planned,2021-2030,Lao Cai or Hung Yen,100.0
Dung Quat 1,gas,,2024,Quang Ngai,750.0
Dung Quat 2,gas,,2026,Quang Ngai,750.0
Dung Quat 3,gas,planned,2024-2025,Quang Ngai,750.0
Dung Quất I,gas,planned,2021-2030,Quảng Ngãi,750.0
Dung Quất II,gas,planned,2021-2030,Quảng Ngãi,750.0
Dung Quất III,gas,planned,2021-2030,Quảng Ngãi,750.0
Duyen Hai 1,coal,operational,2014,Tra Vinh,1245.0
Duyen Hai 2,coal,,2021-2022,Tra Vinh,1200.0
Duyen Hai 3,coal,operational,2016-2017,Tra Vinh,1245.0
Duyen Hai 3 Extension,coal,operational,2019,Tra Vinh,660.0
Duyên Hải 1,coal,operational,2017,Trà Vinh,1244.0
Duyên Hải 3,coal,operational,2017,Trà Vinh,1245.0
Formosa Ha Tinh 1,coal,operational,<=2011,Ha Tinh,150.0
Formosa Ha Tinh 2,coal,,2020,Ha Tinh,650.0
Formosa Hà Tĩnh 1,coal,operational,2011-12-31,Hà Tĩnh,150.0
Formosa Hà Tĩnh 2,coal,,2021-2030,Hà Tĩnh,650.0
Hai Duong,coal,,2021,Hai Duong,1200.0
Hai Ha 1,coal,operational,2019,Quang Ninh,150.0
Hai Ha 2,coal,planned,2024,Quang Ninh,150.0
Hai Ha 3,coal,planned,2031-2035,Quang Ninh,600.0
Hai Ha 4,coal,planned,2031-2035,Quang Ninh,600.0
Hai Ha cogeneration 1,coal,planned,2019,Quang Ninh,150.0
Hai Ha cogeneration 2,coal,planned,2022,Quang Ninh,750.0
Hai Ha cogeneration 3,coal,planned,2025,Quang Ninh,600.0
Hai Ha cogeneration 4,coal,planned,2028,Quang Ninh,600.0
Hai Lang LNG Phase 1,imported lng,planned,2021-2030,Quang Tri,1500.0
Hai Phong 1,coal,operational,<=2011,Hai Phong,600.0
Hai Phong 2,coal,operational,2014,Hai Phong,600.0
Hai Phong 3,coal,,2028-2029,Hai Phong,1200.0
Hai Phong 3 Units 3-4,coal,planned,2025,Hai Phong,1200.0
Hiep Phuoc LNG,,planned,2030,Ho Chi Minh City,2700.0
Hiep Phuoc LNG Phase I,imported lng,planned,2021-2030,Ho Chi Minh City,1200.0
Hiệp Phước,oil,operational,2011-12-31,TP. Hồ Chí Minh,375.0
Hoa Phat II excess gas power,gas,planned,2021-2030,Quang Ngai or Hung Yen,300.0
Hải Hà 1,coal,planned,2021-2030,Quảng Ninh,300.0
