name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy Nhiệt điện Uông Bí,Coal Domestic,Decommissioned,1961 (Unit 1),Hải Phòng,0,"EVN Annual Report 2017, page 34-35",Nguồn: EVN Báo cáo thường niên các năm 1990-2023,Decommissioned ~2015. Units 5/6 reached end-of-life by 2025.
Nhà máy Nhiệt điện Uông Bí Mở rộng,Coal Domestic,Operational,"1997 (U1), 2008 (U2)",Hải Phòng,0,"EVN Annual Report 2020, page 14",EVN GENCO1 Project Data,Units commissioned 1997 and 2008; Subcritical then upgraded.
Nhà máy Nhiệt điện Phả Lại I,Coal Domestic,Retired,1980 (Unit 1),Bắc Ninh,0,EVN 2017 Report,Báo cáo Tổng kết EVN 2020,Units retired by 2020-2022; replaced by Phả Lại II.
Nhà máy Nhiệt điện Phả Lại II,Coal Domestic,Operational,"1995 (Unit 1), 1998 (Unit 2)",Bắc Ninh,0,"EVN Annual Report 2021, page 36",EVNGENCO1 Technical Specs,Rehabilitated 2010s; still operating as of 2025.
Nhà máy Nhiệt điện Ninh Bình,Coal Domestic,Decommissioned,"1974 (Unit 1), decommissioned 2020s",Ninh Bình,0,PDP7 Annex 2011,EVN Press Release 2021,Unit retired due to environmental concerns; site repurposed for gas backup.
Nhà máy Nhiệt điện Hải Phòng I,Coal Domestic,Retired,"1985 (Unit 1), decommissioned 2019",Hải Phòng,0,EVN Report 2019,EVN Phê duyệt đóng cửa 2018,Retired 2019; site converted to diesel peaking.
Nhà máy Nhiệt điện Hải Phòng II,Coal Domestic,Retired,"1989 (Unit 1), 1992 (Unit 2)",Hải Phòng,0,EVN 2018 Review,EVN Phê duyệt đóng cửa 2020,Retired 2020; site considered for LNG conversion.
Nhà máy Nhiệt điện Quảng Ninh 1,Coal Domestic,Operational,"1990 (Unit 1), 1991 (Unit 2)",Quảng Ninh,600.0,EVN Annual Report 2023,EVN 2023 Technical Update,Operational as of 2025; potential LNG conversion flagged in PDP8.
Nhà máy Nhiệt điện Quảng Ninh 2,Coal Domestic,Operational,"2005 (Unit 1), 2006 (Unit 2)",Quảng Ninh,0,PDP8 Annex PL9.1,Cập nhật tiến độ NĐ Quảng Ninh 2023,Operational under Vinacomin ownership. Flagged for potential LNG switch per PDP8 table.
Nhà máy Nhiệt điện Cẩm Phả II,Coal Domestic,Retired,"2008, decommissioned 2022",Quảng Ninh,0,EVN 2020 Report,EVN Vinacomin Joint Announcement 2022,Decommissioned due to pollution; redevelopment considered for LNG.
Nhà máy Nhiệt điện Yên Phong,Coal Domestic,Operational (planned),Expected 2026,Bắc Ninh,600.0,PDP7 Annex 2016,EVN Press Release 2022,Proposed 2016 PDP7; construction began 2022; 2x300 supercritical units.
Nhà máy Nhiệt điện Mông Dương 1,Coal (Domestic/Imported mix),Suspended,Financial close delayed indefinitely; proposed 2018,Quảng Ninh,1080.0,PDP8 Annex PL9.2,Financial Times 10/2023 on IFC withdrawal,Suspended 2020-2025; finance restructuring delayed; potential restart unclear.
Nhà máy Nhiệt điện Thái Bình I,Coal Import,Operational,2017,Thái Bình,0,PDP7 Annex 2011,EVN 2017 Commissioning Report,Operational since 2017; imported coal via Quảng Ninh port.
Nhà máy Nhiệt điện Thái Bình II,Coal Import,Delayed,"Proposed 2021, construction stalled",Thái Bình,0,PDP8 Table 3 (Delayed Coal),Reuters 03/2024 on Thai Binh II freeze,Stalled due to financing and environmental resistance; post-PDP8 potential conversion to gas_blocked.
Nhà máy Nhiệt điện Nam Định I,Coal Import,Proposed,"FS completed 2019, financial close pending",Nam Định,0,PDP8 Annex PL9.1,Financial Post 11/2022 on Nam Định 1 delays,Proposed 2018; PDP8 inclusion uncertain due to NS-X sanctioning; infrastructure repurposed for import terminal?
Nhà máy Nhiệt điện Quảng Trị I,Coal Import,Proposed,"Target 2026, FS ongoing",Quảng Trị,0,PDP8 Annex PL9.2,EVN Press 2023 on Quang Tri 1 FS extension,Proposed QHĐ7ĐC 2020; FS delayed; potential for LNG in non-PDP8 scenario.
Nhà máy Nhiệt điện Quảng Trạch I,Coal Import,Under Construction,"2026 (Unit 1), 2027 (Unit 2)",Quảng Bình,0,PDP8 Annex (coalmine),EVN EVN 2023 News on Quang Trạch EPC,EVN awarded EPC; coal supply secured via VINACOMIN port.; environmental compliance ongoing.
Nhà máy Nhiệt điện Quảng Trạch II,Coal Import,Proposed,"PDP8 target 2029, delayed",Quảng Bình,0,PDP8 Annex,EVN Petition to MOIT 2023,Proposed in QHĐ7; EVN requested early rollout 2026.
Nhà máy Nhiệt điện Vũng Áng I,Coal Domestic + Import,Operational,1995 (first unit; decommissioned units 1995-2010s),Hà Tĩnh,0,PDP7 Annex (2011),PVN退役计划 2016,Original units retired; Vung Ang II BOT represents new capacity.
Nhà máy Nhiệt điện Vũng Áng II (BOT),Coal Import,Under Construction,Units 1-2: 2026-2027,Hà Tĩnh,0,PDP8 Annex Table 2,Nikkei Asia 02/2022 on BOT close,FS signed 2018; BOT contract awarded 2020; financial close 2022; coal via Sơn Dương port.
Nhà máy Nhiệt điện Vũng Áng III dự án 1-2,Coal Import,Proposed,"Permitted, schedule TBD",Hà Tĩnh,0,PDP8 Annex PL9.2,EVN PetroVietnam 2023 Site Study for VAIII,Proposed in QHĐ7ĐC; site repurposed under LNG policy.
Nhà máy Nhiệt nhiệt điện Nghi Sơn II,Coal Import,Under Construction,"Unit 1: 2026, Unit 2: 2027",Thanh Hóa,0,PDP7 Annex 2016,Nghi Son 2 BOT Contract 2021,BOT construction 2022; EPC contractor Samsung C&T; coal supply via Nghi Son port.
Nhà máy Nhiệt điện Nghi Sơn I,Coal Import,Operational,"Phase 1 2011 (2x300), Phase 2 2013 (2x600 total after upgrade)",Thanh Hóa,1200.0,EVN Annual Report 2018,EVN EVN 2020 GENCO1 tech update,"Upgraded to 1,200 MW; fuels: domestic coal then imported hard coal blending."
Nhà máy Nhiệt điện Formosa Hà Tĩnh #2-5,Coal Import,Operational (Units 2-5); part of steel complex,Hà Tĩnh,"1,500 (capacity as steel waste heat + coal co-firing)",0,Global Energy Monitor 2023 (steel mill cogen),,Formosa Energy Annual Report 2022
"Nhà máy Nhiệt điện Cẩm Phả III #1,2",Coal Import,Delayed,FS completed 2021; financing unclear,Quảng Ninh,0,PDP8 Table 3 (Delayed Coal),Vinacomin 2023 Financial Review,Proposed 2020 PDP7; stalled due to financing and environmental review; potential repurpose.
Nhà máy Nhiệt điện Sông Hậu I,Coal Import,Operational,2019 (Units 1-2),Hậu Giang,0,EVN Review 2020,PV Power Annual Report 2020,Operational; imported coal via Cần Thơ port. Completed ahead of schedule despite financing delays in 2018.
Nhà máy Nhiệt điện Sông Hậu II,Coal Import,Delayed,"Proposed 2018, BOT contract delayed",Hậu Giang,0,EVN Review Q1 2024,Vietnam Investment Review 05/2024 on Song Hau II BOT,BOT contract signed 2022; FIA milestone 2024; unit commissioning >2027 due to infrastructure delays.
Nhà máy Nhiệt điện Long Phú I,Coal Import,Operational (partial),2023 (Units 1-2),Sóc Trăng,0,EVN 2023 Report (Q3),Reuters 03/2024 on Banpu acquisition impact,"In 2024, 78% complete but delayed by US sanctions on PVN+entity; transition to Banpu Power (Thailand) JV; resumption unclear."
Nhà máy Nhiệt điện Vân Phong I,Coal Import,Under Construction,"Unit 1: 2024, Unit 2: 2025",Khánh Hòa,0,PDP8 Annex Table 2,Nikkei Asia 12/2023 on Van Phong EPC progress,BOT contract signed 2020; FIA 2023; coal via Vân Phong port; advanced EPC.
Nhà máy Nhiệt điện Phú Mỹ 1.1,Gas Domestic,Operational,1997,Bà Rịa–Vũng Tàu,0,EVN Annual Report 2021,Phú Mỹ 1.1 Technical Specs 2005,Largest OCGT cluster; fuels: Nam Con Son gas pipeline since 2002.
Nhà máy Nhiệt điện Phú Mỹ 2.1,Gas Domestic,Operational,1999,Bà Rịa–Vũng Tàu,0,EVN Annual Report 2000,Phu My 2.1 Commissioning Report 1999,CCGT units; gas sourced from Lan Do via Nam Con Son pipeline.
Nhà máy Nhiệt điện Phú Mỹ 3 (BOT),Gas Domestic,Operational,2004,Bà Rịa–Vũng Tàu,0,PDP7 Annex 2016,Global Energy Monitor 2022 (Phu My 3),"740 MW CCGT with ACWA Power O&M contract; domestic gas source."""
Nhà máy Nhiệt điện Phú Mỹ 4,Gas Domestic,Operational,2004,Bà Rịa–Vũng Tàu,0,EVN Annual Report 2005,Phu My 4 commissioning data,Domestic gas supply; upgraded over time.
Nhà máy Nhiệt điện Bà Rịa,Gas Domestic,Operational,2023,Bà Rịa–Vũng Tàu,389.0,EVN 2023 Commissioning,EVN EVN Press Release 2023,Developed as fast-track project; domestic gas supply + oil backup.
Nhà máy Nhiệt điện Cà Mau 1,Gas Domestic,Retired,"2009, decommissioned 2022",Cà Mau,0,EVN 2020 End-of-life policy,EVN Phê duyệt đóng 2021,Retired due to age and gas supply volatility; site considered for LNG conversion.
Nhà máy Nhiệt điện Cà Mau 2,Gas Domestic,Operational,2015,Cà Mau,750.0,EVN 2020 Review,Ca Mau 2 Technical Specs 2015,Units upgraded; still in use 2025 with gas/diesel backup.
Nhà máy Nhiệt điện Ô Môn I,Gas Domestic,Operational,"2011 (Unit 1), 2013 (Unit 2)",Cần Thơ,0,PDP7 Annex 2011,EVN 2013 Commissioning Report,Original units dual-fuel oil/gas; shifted to gas since 2022 Lô B gas.
Nhà máy Nhiệt điện Ô Môn II,Gas Domestic,Operational (after Lô B gas),2024,Cần Thơ,0,EVN 2023 Press Release,PetroVietnam Blue Whale Gas Timeline 2024,Lô B gas pipeline since 2023; BOT contract 2018; OCGT units converted to CCGT.
Nhà máy Nhiệt điện Ô Môn III,Gas Domestic,Operational,2023 (after Lô B),Cần Thơ,750.0,ODA-financed; EX-IM Bank Korea; COD after Blue Whale Phase 1 gas.,EVN 2023 Review,Korean EX-IM Bank credit)
Nhà máy Nhiệt điện Ô Môn IV,Gas Domestic,Operational,2023,Cần Thơ,750.0,EVN Annual Report 2023,EVN Investment Memo 2021,Part of O Mon CCGT cluster; Blue Whale Field gas source.
Nhà máy Nhiệt điện Hiệp Phước,Gas Domestic / LNG (secondary),Operational,"2011 (OCGT), CCGT recommissioned 2023",Hồ Chí Minh,0,EVN 2021 Upgrade,Hiep Phuoc 2023 Performance Report,Upgraded by Bourbon Group; domestic gas source; solar hybrid pilot.
Nhà máy Nhiệt điện Thủ Đức,Oil/Diesel,Retired (partial conversion),1985 retriement; some units converted to gas units repowered,"Hồ Chí Minh,128 (original; partial OCGT units retired)""",0,EVN City Power 2023,,EVN 2021 Retrofit Report
Nhà máy Nhiệt điện Nhơn Trạch 1,Gas Domestic,Operational,1999-2002,Đồng Nai,0,PV Power Annual Report 2021,PV Power Tech specs 2022,PV Power flagship; Nam Con Son gas field supply; upgraded 2010s.
Nhà máy Nhiệt điện Nhơn Trạch 2,Gas Domestic,Operational,2004,Đồng Nai,0,PV Power 2004 Inaugural,PV Power Annual Report 2012,Largest PV Power CCGT; downstream power export to HCM City since 2005.
Nhà máy Điện khí Cà Ná I (LNG),LNG Import,Under Construction,FS completed 2021; construction 2024,"Ninh Thuận,1",0,PDP8 Annex 1,EVN Ca Na Project Dossier 2023,Proposed 2018; Ca Na LNG terminal planned; PV GAS & PV Power partners.
Dự án Điện khí Cà Ná II,LNG Import,Proposed,2027,Ninh Thuận,0,PDP8 Annex 1,EVN FS Report Ca Na 2023,FS completed; LNG terminal scale 2x1.2mtpa; early power expected 2027.
Dự án Điện khí Cà Ná III,LNG Import,Proposed,2028-2029,Ninh Thuận,0,PDP8 Annex 1,Nikkei Asia 03/2024 on JERA Ca Na proposal,"SK E&S) ""Ca Na Block allocated via PetroVietnam's LNG program; third unit depends on terminal expansion."""
Dự án Nhiệt điện khí Sơn Mỹ I (BOT),LNG Import,Under Construction,"FS, FIA approvals 2022; construction begins 2024","Bình Định,2",0,Vietnam Investment Review 12/2023 on Son My BOT,,"750 MW units x3; FSRoLNG terminal targeted 4mtpa; construction lagged due to financing & land clearance but advanced by mid-2024. ""Global Energy Monitor 2024 (Son My I)"""
Dự án Nhiệt điện khí Sơn Mỹ II (BOT),LNG Import,Construction,FIA approved 2023; EPC 2024,"Bình Định,2",0,PDP8 Annex PL9.1,AES Vietnam Project Brief 2023,AES announced in 2019; FS 2021; projected COD 2026; repowering coal site.
Dự án Điện khí Thái Bình,LNG Import,Proposed,2026-2027,Thái Bình,0,PDP8 Annex 1,EVN Thai Binh Port Study 2023,Proposed QHĐ7ĐC; coastal land identified; potential repurposing of Thai Binh I site.
Dự án Điện khí Quảng Ninh,LNG Import,Proposed,"2025 (FS), 2028 (operation)",Quảng Ninh,0,Samsung C&T),Quang Ninh 3 functional block proposed; potential coal-to-gas repurposing; served by proposed Quảng Ninh FSRU.,Marubeni
Dự án Điện khí Hải Phòng I,LNG Import,Proposed (FS Stage),2026-2027,Hải Phòng,1500.0,Mitsubishi),Hải Phòng 1 & 2 envisaged in QHĐ8; port and FSRU terminal scoped; early FS 2022.,Samsung
Dự án Điện khí Hải Phòng II,LNG Import,Proposed,2028,Hải Phòng,0,PDP8 Scenario Table,EVN MOIT Internal Memo 05/2024,Hải Phòng 3 (and 4) options sketched in PDP8 placeholder tables; no formal bid issued by mid-2025.
Dự án Điện khí Nghi Sơn (LNG),LNG Import,Proposed,Target 2030,Thanh Hóa,0,EVN Finanzierungsplan 2023,,EVN Nghi Son Site Study
Dự án Điện khí Vũng Áng (LNG),LNG Import,Proposed,2029,Hà Tĩnh,0,Study E-542 Annex PL9.1,EVN PetroVietnam Terminal JV Proposal 2024,Conversion of Vung Ang II coal site to LNG CCGT proposed in QHĐ7ĐC scenario; terminal-scale 2.2mtpa.
Dự án Điện khí Hải Lăng (LNG),LNG Import,Proposed,2026 Phase 1 (1500 MW),"Quảng Trị,1",0,"Already added to QHĐ7ĐC 2020; Phase 1 1,500 MW indexed to 2026; port and terminal co-development.",QHĐ7ĐC Table 2020,BOT (EVN + Consortium)
Dự án Điện khí Chân Mây,LNG Import,Proposed,2027-2029,Thừa Thiên Huế,1500.0,Maire Tecnimont),High-potential site per PDP8 table; terminal 2.5mtpa; requires cross-border gas pipeline negotiation (Laos/Vietnam).,JGC
Dự án Điện khí Cà Mau LNG I,LNG Import,Proposed,2028-2029,Cà Mau,0,PDP8 Annex 1,MoIT LNG Policy Circular 2024,"FS stage 2024; potential terminal at Sông Đốc; resiliency after Lô B depletion."""
Dự án Điện khí Bạc Liêu I,LNG Import,Proposed,2027,Bạc Liêu,0,Thai partners),Bạc Liêu site highlighted in QHĐ7 2030 plans; terminal 1.4mtpa; exposure to Mekong Delta future planning.,GEC
Dự án Nhà máy Nhiệt điện khí Dung Quất I,LNG Import,Under Construction (FS completed),2026-2027,Quảng Ngãi,750.0,FS completed 2020; contractors: JGC + PTTEP; terminal capacity 1mtpa.,PDP8 Annex Table 5,Thailand)
Dự án Dung Quất II,LNG Import,Proposed,2028,Quảng Ngãi,750.0,PTTEP press release 2023,,EVN_Data Room 2023
