name,fuel,status,cod,province,capacity_mwe
Vinh Tan 1,Coal,Operational,2014-2015,Binh Thuan,1240
Vinh Tan 2,Coal,Operational,2014-2015,Binh Thuan,1244
Vinh Tan 4,Coal,Operational,2018-2020,Binh Thuan,1200
Vinh Tan 4 Extension,Coal,Operational,2023,Binh Thuan,600
Duyen Hai 1,Coal,Operational,2015,Tra Vinh,1245
Duyen Hai 2,Coal,Operational,2015,Tra Vinh,1245
Duyen Hai 3,Coal,Operational,2017-2018,Tra Vinh,1280
Duyen Hai 3 Extension,Coal,Operational,2021,Tra Vinh,600
Mong Duong 1,Coal,Operational,2015,Quang Ninh,1080
Mong Duong 2,Coal,Operational,2015,Quang Ninh,1240
Quang Ninh 1,Coal,Operational,2011-2012,Quang Ninh,1200
Quang Ninh 2,Coal,Operational,2013-2014,Quang Ninh,1240
Nghi Son 1,Coal,Operational,2018,Thanh Hoa,600
Nghi Son 2,Coal,Operational,2021,Thanh Hoa,1200
Hai Duong,Coal,Operational,2016,Hai Duong,1200
Thang Long,Coal,Operational,2016-2017,Quang Ninh,1200
An Khanh,Coal,Operational,2016,Bac Giang,110
Na Duong 2,Coal,Operational,2016,Lang Son,110
Song Hau 1,Coal,Operational,2022,Hau Giang,1200
Song Hau 2,Coal,Under Construction,2025 (planned),Hau Giang,2000
Long Phu 1,Coal,Under Construction,2026 (planned),Soc Trang,1200
Quang Trach 1,Coal,Planned,2026-2027 (planned),Quang Binh,1200
Quang Trach 2,Coal,Planned,2028-2029 (planned),Quang Binh,1200
Vung Ang 2,Coal,Planned,2027 (planned),Ha Tinh,1200
Ca Na 1,Coal,Planned,2026-2027 (planned),Ninh Thuan,1200
Ca Na 2,Coal,Planned,2028-2029 (planned),Ninh Thuan,1200
Phu My 1,Local Natural Gas,Operational,2004,Ba Ria-Vung Tau,411
Phu My 2.1,Local Natural Gas,Operational,2005,Ba Ria-Vung Tau,450
Phu My 2.2,Local Natural Gas,Operational,2005,Ba Ria-Vung Tau,715
Phu My 3,Local Natural Gas,Operational,2009,Ba Ria-Vung Tau,716
Phu My 4,Local Natural Gas,Operational,2010,Ba Ria-Vung Tau,490
Ca Mau 1,Local Natural Gas,Operational,2012,Ca Mau,750
Ca Mau 2,Local Natural Gas,Operational,2015,Ca Mau,750
O Mon 1,Local Natural Gas,Operational,2016,Can Tho,660
O Mon 2,Local Natural Gas,Operational,2019,Can Tho,750
O Mon 3,Local Natural Gas,Under Construction,2025 (planned),Can Tho,750
O Mon 4,Local Natural Gas,Planned,2026-2027 (planned),Can Tho,750
Nhon Trach 1,Local Natural Gas,Operational,2011,Dong Nai,450
Nhon Trach 2,Local Natural Gas,Operational,2014,Dong Nai,750
Nhon Trach 3,Local Natural Gas,Under Construction,2025 (planned),Dong Nai,750
Nhon Trach 4,Local Natural Gas,Planned,2026-2027 (planned),Dong Nai,750
Bac Lieu,Local Natural Gas,Operational,2019,Bac Lieu,720
Thi Vai,Under Construction,2025 (planned),1500,LNG (Imported),0
Son My 1,LNG (Imported),Under Construction,2026 (planned),Binh Thuan,1500
Son My 2,LNG (Imported),Planned,2027-2028 (planned),Binh Thuan,1500
Ca Na LNG,LNG (Imported),Planned,2028-2030 (planned),Ninh Thuan,1500
Chan May,Planned,2027-2028 (planned),4000,LNG (Imported),0
Long Son,Planned,2026-2027 (planned),1500,LNG (Imported),0
Quynh Lap 1,Local Natural Gas,Planned,2026-2027 (planned),Nghe An,750
Quynh Lap 2,Local Natural Gas,Planned,2028-2029 (planned),Nghe An,750
Kien Giang 1,Local Natural Gas,Planned,2026-2027 (planned),Kien Giang,1500
Kien Giang 2,Local Natural Gas,Planned,2028-2029 (planned),Kien Giang,1500
