name,fuel,status,cod,province,capacity_mwe
Phả Lại 1,Domestic coal,Operational,1982,Đông Triều (Quảng Ninh),440
Kinh Môn 1,Domestic coal,Operational,1995,Nghĩa Hà (Hải Dương),150
Uông Bí Mở rộng 1,Domestic coal,Operational,2000,Uông Bí (Quảng Ninh),330
Uông Bí Mở rộng 2,Imported coal,Operational,2005,Uông Bí (Quảng Ninh),300
Ninh Bình,Imported coal,Operational,2004,Nho Quan (Ninh Bình),100
Hải Phòng 1,Domestic coal,Operational,2005,Hải An (Hải Phòng),600
Hải Phòng 2,Imported coal,Operational,2011,Hải An (Hải Phòng),600
Cẩm Phả 1,Domestic coal,Operational,2011,Cẩm Phả (Quảng Ninh),660
Cẩm Phả 2,Domestic coal,Operational,2012,Cẩm Phả (Quảng Ninh),660
Cẩm Phả 3,Imported coal,Cancelled/Limited,—,Cẩm Phả (Quảng Ninh),0
Núi Béo,Domestic coal,Operational,2013,Hoành Bồ (Quảng Ninh),620
Uông Bí 3,Imported coal,Proposed,—,Uông Bí (Quảng Ninh),0
Than Sạch Hạ Long,Imported coal,Proposed,—,(Quảng Ninh),0
Cẩm Phả 4/Q6,Cancelled,—,(Quảng Ninh),—,0
Quảng Ninh 1,Imported coal,Operational,2014,Cẩm Phả (Quảng Ninh),540
Quảng Ninh 2,Imported coal,Operational,2015,Cẩm Phả (Quảng Ninh),540
Quảng Ninh 3,Imported coal,Planned (POSCO),—,(Quảng Ninh),0
Than Hải Hà 1,Domestic coal,Cancelled/Phased Out,—,Hải Hà (Quảng Ninh),150
Than Hải Hà 2,Domestic coal,Cancelled/Phased Out,—,Hải Hà (Quảng Ninh),150
Núi Hồng,Burned off,Cancelled,—,(Quảng Ninh),0
Mạo Khê 1,Domestic coal,Operational,2009,Dương Huyền (Quảng Ninh),300
Mạo Khê 2,Domestic coal,Operational,2014,Dương Huyền (Quảng Ninh),340
Quang Ninh 1 Expansion,Imported coal,Proposed,—,(Quảng Ninh),0
Than Hạ Long 2,Imported coal,Cancelled,—,(Quảng Ninh),0
Thanh Hóa 1,Imported coal,Proposed,—,(Thanh Hóa),0
Thanh Hóa 2,Imported coal,Proposed,—,(Thanh Hóa),0
Nghi Sơn I (Block 1),Imported coal,Operational,2018,Nghi Sơn (Thanh Hóa),600
Nghi Sơn II (Block 1,NS2A-2B,Imported coal,Under Construction,2024,0
Nghi Sơn III (Planned),Imported coal,Proposed,—,(Thanh Hóa),600
Vũng Áng I (Block 1,VA1A-1B,Imported coal,Operational,2015,0
Vũng Áng II (Block 1,VA2,Imported coal,Under Construction,2024,0
Vũng Áng III (Block 1,VA3A-3B,Imported coal,Planned,2025,0
Vũng Áng III (Block 3,VA3C-3D,Imported coal,Planned,2028-2029,0
Phú Lương 1,PL1,Domestic coal,Operational,2017,0
Phú Lương 2,Domestic coal,CSC,2025,Phú Lương (Thái Nguyên),660
An Khánh (Bắc Giang),Imported coal,Under Construction,2024,Bắc Giang (Phú Thọ),650
Mông Dương 1,Imported coal,Operational,2015,Chợ Mới (Bắc Giang),500
Thái Nguyên 2,Domestic coal,Delayed,—,(Thái Nguyên),600
Than Cẩm Phả Mở rộng,Domestic coal,Proposed/planned,—,(Quảng Ninh),0
Phả Lại 2 (PL2),Imported coal,Operational,2023,Chí Linh (Hải Dương),1200
Hải Dương 1,Imported coal,Delays,2023-2024,Hải Dương,600
Hải Dương 2,Imported coal,Delayed,2024-2025,Hải Dương,600
Duyên Hải 1,Imported coal,Operational,2015,Duyên Hải (Trà Vinh),1244
Duyên Hải 3,Imported coal,Operational,2016,Duyên Hải (Trà Vinh),1244
Sơn Động 1,Imported coal,Cancelled,—,(Bắc Giang),0
Kiên Lương 1,Imported coal,Operational,—,(Kiên Giang),600
Long Phú I,Imported coal,Delayed,2022,Long Phú (Sóc Trăng),1200
Long Phú II,Imported coal,Delayed,2025-2026,Long Phú (Sóc Trăng),792
Long Phú III,Imported coal,Delayed,2030,Long Phú (Sóc Trăng),1800
Long Phú 3 (Alternative),Imported coal,Delays (transferred to Banpu),—,(Sóc Trăng),0
Sông Hậu I,Imported coal,Operational,2019,Sông Hậu (Hậu Giang),1200
Sông Hậu II,Imported coal,Delayed,2023-2024,Sông Hậu (Hậu Giang),2000
Sơn Hà 2,Imported coal,Proposed,—,(Quảng Ngãi),600
Vĩnh Tân I (Units 1-2) (BOT),Imported coal,Operational,2017,Bắc Bình (Bình Thuận),1200
Vĩnh Tân II (Units 3-4),Coal,Limited/Operational,—,(Bình Thuận),0
Vĩnh Tân III (Units 5-7) (BOT),Imported coal,Under Construction,2024,Bắc Bình (Bình Thuận),1980
Vĩnh Tân IV,Imported coal,Operational,2018,Bắc Bình (Bình Thuận),1200
