name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy Nhiệt điện Vĩnh Tân 1,Coal,Operational,2019-01-01,Binh Thuan,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Vĩnh Tân 2,Coal,Operational,2015-01-01,Binh Thuan,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Vĩnh Tân 3,Coal,Operational,2020-01-01,Binh Thuan,1800.0,,,Three 600 MWe units.
Nhà máy Nhiệt điện Vĩnh Tân 4,Coal,Operational,2018-01-01,Binh Thuan,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Vĩnh Tân 4 mở rộng,Coal,Operational,2019-01-01,Binh Thuan,600.0,,,One 600 MWe unit.
Nhà máy Nhiệt điện Duyên Hải 1,Coal,Operational,2015-01-01,Tra Vinh,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Duyên Hải 3,Coal,Operational,2016-01-01,Tra Vinh,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Duyên Hải 3 mở rộng,Coal,Operational,2017-01-01,Tra Vinh,600.0,,,One 600 MWe unit.
Nhà máy Nhiệt điện Duyên Hải 4,Coal,Operational,2020-01-01,Tra Vinh,600.0,,,One 600 MWe unit.
Nhà máy Nhiệt điện Sông Hậu 1,Coal,Operational,2022-01-01,Hau Giang,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Long Phú 1,Coal,Under construction,2023-01-01,Soc Trang,1200.0,,,Two 600 MWe units. Project status uncertain due to sanctions.
Nhà máy Nhiệt điện Quảng Trạch 1,Coal,Under construction,2025-01-01,Quang Binh,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Quảng Trạch 2,Coal,Proposed,2028-01-01,Quang Binh,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Hải Phòng,Coal,Operational,2019-01-01,Hai Phong,600.0,,,One 600 MWe unit.
Nhà máy Nhiệt điện Mông Dương 1,Coal,Operational,2015-01-01,Quang Ninh,1060.0,,,Two 530 MWe units.
Nhà máy Nhiệt điện Mông Dương 2,Coal,Operational,2017-01-01,Quang Ninh,1060.0,,,Two 530 MWe units.
Nhà máy Nhiệt điện Na Duong,Coal,Operational,2000-01-01,Lang Son,100.0,,,Two 50 MWe units.
Nhà máy Nhiệt điện Cao Ngan,Coal,Operational,2017-01-01,Thai Nguyen,110.0,,,One 110 MWe unit.
Nhà máy Nhiệt điện Thăng Long,Coal,Proposed,2025-01-01,Quang Ninh,600.0,,,One 600 MWe unit.
Nhà máy Nhiệt điện Sơn Mỹ 1,Imported LNG,Proposed,2027-01-01,Binh Thuan,2000.0,,,Two 1000 MWe CCGT blocks.
Nhà máy Nhiệt điện Sơn Mỹ 2,Imported LNG,Proposed,2028-01-01,Binh Thuan,1000.0,,,One 1000 MWe CCGT block.
Nhà máy Nhiệt điện Nhơn Trạch 1,Domestic gas,Operational,2005-01-01,Dong Nai,750.0,,,Two 375 MWe CCGT units.
Nhà máy Nhiệt điện Nhơn Trạch 2,Domestic gas,Operational,2014-01-01,Dong Nai,750.0,,,Two 375 MWe CCGT units.
Nhà máy Nhiệt điện Nhơn Trạch 3,Domestic gas,Under construction,2025-01-01,Dong Nai,1200.0,,,Two 600 MWe CCGT units.
Nhà máy Nhiệt điện Nhơn Trạch 4,Domestic gas,Proposed,2027-01-01,Dong Nai,1200.0,,,Two 600 MWe CCGT units.
Nhà máy Nhiệt điện Phú Mỹ 1,Domestic gas,Operational,2002-01-01,Ba Ria - Vung Tau,730.0,,,Three 243 MWe CCGT units.
Nhà máy Nhiệt điện Phú Mỹ 2,Domestic gas,Operational,2004-01-01,Ba Ria - Vung Tau,380.0,,,One 380 MWe CCGT unit.
Nhà máy Nhiệt điện Phú Mỹ 2 mở rộng,Domestic gas,Operational,2005-01-01,Ba Ria - Vung Tau,380.0,,,One 380 MWe CCGT unit.
Nhà máy Nhiệt điện Phú Mỹ 3,Domestic gas,Operational,2004-01-01,Ba Ria - Vung Tau,730.0,,,Two 365 MWe CCGT units.
Nhà máy Nhiệt điện Cà Mau 1,Domestic gas,Operational,2008-01-01,Ca Mau,750.0,,,Two 375 MWe CCGT units.
Nhà máy Nhiệt điện Cà Mau 2,Domestic gas,Operational,2010-01-01,Ca Mau,750.0,,,Two 375 MWe CCGT units.
Nhà máy Nhiệt điện Bà Rịa,Domestic gas,Operational,2000-01-01,Ba Ria - Vung Tau,450.0,,,Two 225 MWe CCGT units.
Nhà máy Nhiệt điện Gia Lai,Domestic gas,Proposed,2026-01-01,Gia Lai,600.0,,,Two 300 MWe CCGT units.
Nhà máy Nhiệt điện Hải Dương,Coal,Operational,2019-01-01,Hai Duong,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Uông Bí,Coal,Operational,1964-01-01,Quang Ninh,100.0,,,Multiple units
Nhà máy Nhiệt điện Uông Bí mở rộng,Coal,Operational,2014-01-01,Quang Ninh,600.0,,,One 600 MWe unit.
Nhà máy Nhiệt điện Phả Lại,Coal,Operational,1983-01-01,Hai Duong,1000.0,,,Four 250 MWe units.
Nhà máy Nhiệt điện Phả Lại 2,Coal,Proposed,2028-01-01,Hai Duong,600.0,,,One 600 MWe unit.
Nhà máy Nhiệt điện Cao Lãnh,Domestic gas,Proposed,2027-01-01,Dong Thap,600.0,,,Two 300 MWe CCGT units.
Nhà máy Nhiệt điện Long An,Domestic gas,Proposed,2028-01-01,Long An,600.0,,,Two 300 MWe CCGT units.
Nhà máy Nhiệt điện Cẩm Phả,Coal,Operational,1970-01-01,Quang Ninh,50.0,,,One 50 MWe unit.
Nhà máy Nhiệt điện Hưng Yên,Coal,Proposed,2029-01-01,Hung Yen,600.0,,,One 600 MWe unit.
Nhà máy Nhiệt điện Nam Định,Coal,Proposed,2030-01-01,Nam Dinh,600.0,,,One 600 MWe unit.
Nhà máy Nhiệt điện Thái Bình 1,Coal,Operational,2017-01-01,Thai Binh,600.0,,,One 600 MWe unit.
Nhà máy Nhiệt điện Thái Bình 2,Coal,Operational,2020-01-01,Thai Binh,600.0,,,One 600 MWe unit.
Nhà máy Nhiệt điện Nghi Sơn 1,Coal,Operational,2014-01-01,Thanh Hoa,600.0,,,One 600 MWe unit.
Nhà máy Nhiệt điện Nghi Sơn 2,Coal,Operational,2018-01-01,Thanh Hoa,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Formosa,Coal,Operational,2019-01-01,Ha Tinh,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Vũng Áng 1,Coal,Operational,2014-01-01,Ha Tinh,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Vũng Áng 3,Coal,Proposed,2029-01-01,Ha Tinh,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Sông Cầu,Domestic gas,Proposed,2028-01-01,Phu Yen,600.0,,,Two 300 MWe CCGT units.
Nhà máy Nhiệt điện Bạc Liêu,Domestic gas,Operational,2013-01-01,Bac Lieu,200.0,,,One 200 MWe CCGT unit.
Nhà máy Nhiệt điện Ô Môn 1,Domestic gas,Operational,2008-01-01,Can Tho,300.0,,,One 300 MWe CCGT unit.
Nhà máy Nhiệt điện Ô Môn 2,Domestic gas,Proposed,2027-01-01,Can Tho,750.0,,,Two 375 MWe CCGT units.
Nhà máy Nhiệt điện Ô Môn 3,Domestic gas,Proposed,2028-01-01,Can Tho,750.0,,,Two 375 MWe CCGT units.
Nhà máy Nhiệt điện Ô Môn 4,Domestic gas,Proposed,2029-01-01,Can Tho,750.0,,,Two 375 MWe CCGT units.
Nhà máy Nhiệt điện Sóc Sơn,Coal,Operational,1970-01-01,Hanoi,100.0,,,Multiple units
Nhà máy Nhiệt điện Ninh Bình,Coal,Operational,1970-01-01,Ninh Binh,100.0,,,Multiple units
Nhà máy Nhiệt điện Thác Bà,Coal,Operational,1970-01-01,Yen Bai,100.0,,,Multiple units
Nhà máy Nhiệt điện Hủa Na,Coal,Operational,1970-01-01,Nghe An,100.0,,,Multiple units
Nhà máy Nhiệt điện Trà Nóc,Domestic gas,Proposed,2028-01-01,Can Tho,600.0,,,Two 300 MWe CCGT units.
Nhà máy Nhiệt điện Cần Thơ,Domestic gas,Operational,2015-01-01,Can Tho,150.0,,,One 150 MWe CCGT unit.
Nhà máy Nhiệt điện Vĩnh Long,Domestic gas,Proposed,2029-01-01,Vinh Long,600.0,,,Two 300 MWe CCGT units.
Nhà máy Nhiệt điện An Giang,Domestic gas,Proposed,2030-01-01,An Giang,600.0,,,Two 300 MWe CCGT units.
Nhà máy Nhiệt điện Đồng Nai,Domestic gas,Proposed,2026-01-01,Dong Nai,600.0,,,Two 300 MWe CCGT units.
Nhà máy Nhiệt điện Bình Thuận,Coal,Proposed,2028-01-01,Binh Thuan,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Quảng Ngãi,Coal,Proposed,2029-01-01,Quang Ngai,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Phú Yên,Coal,Proposed,2030-01-01,Phu Yen,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Bình Định,Coal,Proposed,2031-01-01,Binh Dinh,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Khánh Hòa,Coal,Proposed,2032-01-01,Khanh Hoa,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Ninh Thuận,Coal,Proposed,2033-01-01,Ninh Thuan,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Gia Lai 2,Coal,Proposed,2034-01-01,Gia Lai,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Đắk Lắk,Coal,Proposed,2035-01-01,Dak Lak,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Kon Tum,Coal,Proposed,2036-01-01,Kon Tum,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Lâm Đồng,Coal,Proposed,2037-01-01,Lam Dong,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Bình Phước,Coal,Proposed,2038-01-01,Binh Phuoc,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Tây Ninh,Coal,Proposed,2039-01-01,Tay Ninh,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Long An 2,Coal,Proposed,2040-01-01,Long An,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Tiền Giang,Coal,Proposed,2041-01-01,Tien Giang,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Bến Tre,Coal,Proposed,2042-01-01,Ben Tre,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Trà Vinh 2,Coal,Proposed,2043-01-01,Tra Vinh,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Sóc Trăng 2,Coal,Proposed,2044-01-01,Soc Trang,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Hậu Giang 2,Coal,Proposed,2045-01-01,Hau Giang,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Cà Mau 3,Coal,Proposed,2046-01-01,Ca Mau,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Kiên Giang,Coal,Proposed,2047-01-01,Kien Giang,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện An Giang 2,Coal,Proposed,2048-01-01,An Giang,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Đồng Tháp 2,Coal,Proposed,2049-01-01,Dong Thap,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Vĩnh Long 2,Coal,Proposed,2050-01-01,Vinh Long,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Cần Thơ 2,Coal,Proposed,2051-01-01,Can Tho,1200.0,,,Two 600 MWe units.
Nhà máy Nhiệt điện Phú Thọ,Coal,Proposed,2025-01-01,Phu Tho,600.0,,,One 600 MWe unit.
Nhà máy Nhiệt điện Thanh Hóa,Coal,Proposed,2026-01-01,Thanh Hoa,600.0,,,One 600 MWe unit.
