name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Bán Chát,Coal,Operational,2005-2008,Sơn La,220.0,,,2x110 MW
Bản Vẽ,Coal,Operational,2011-2015,Nghệ An,320.0,,,2x160 MW
Cà Ná I,LNG,Proposed,2025-2026,Ninh Thuận,1500.0,,,Phase 1 of Ca Na LNG complex
Cà Ná II+III,LNG,Proposed,2030+,Ninh Thuận,4500.0,,,Phases 2-3 of Ca Na LNG complex
Cẩm Phả II (VINACOMIN),Coal,Operational,1985-1995,Quảng Ninh,600.0,,,2x300 MW
Cẩm Phả III #1,Coal,Under construction,2024-2025,Quảng Ninh,220.0,,,Part of 2x220 MW expansion
Cẩm Phả III #2,Coal,Proposed,2026-2027,Quảng Ninh,220.0,,,Part of 2x220 MW expansion
Cần Thơ (O Mon I),Oil,Operational,1990s,Cần Thơ,33.0,,,Old oil-fired plant
Cần Thơ (khí),Domestic gas,Operational,2006,Cần Thơ,150.0,,,Converted to gas
Cần Thơ (S4),Oil,Operational,2000s,Cần Thơ,33.0,,,Small oil unit
Càng Đờn,Coal,Decommissioned,1978-2000,Nghệ An,78.0,,,Small coal plant retired
Công Thanh #1,Coal,Suspended,2020-2021,Thanh Hóa,600.0,,,"PPA signed, construction paused due to financing"
Công Thanh #2,Coal,Proposed,2026,Thanh Hóa,600.0,,,Phase 2 expansion
Đăk Đăng 2,Coal,Operational,2012,Gia Lai,34.0,,,Small coal plant
Đăk Mi 1,Coal,Operational,2005,Quảng Nam,54.0,,,Small coal plant
Đăk Mi 2,Coal,Operational,2013,Quảng Nam,98.0,,,Small coal plant
Đăk Mi 3,Coal,Proposed,2016,Quảng Nam,45.0,,,Expansion project
Đăk Re,Coal,Operational,2013,Quảng Nam,60.0,,,Small coal plant
Đạ Đờn,Coal,Operational,2005,Quảng Nam,78.0,,,Small coal plant
Đa Mi,Coal,Operational,2003-2007,Bình Thuận,175.0,,,3x58.3 MW
Đa Nhim + Song Pha,Coal,Operational,1964-1975,Ninh Thuận,168.0,,,2x84 MW
Đa Nhim mở rộng,Coal,Operational,2019,Ninh Thuận,80.0,,,Added 80 MW CFB unit
Đầu tư An Khánh,Coal,Under construction,2022-2023,Bắc Giang,650.0,,,2x325 MW CFB
Đầu tư Thăng Long,Coal,Operational,2017-2018,Quảng Ninh,300.0,,,2x150 MW CFB
Đầu tư Tân Phước,Coal,Proposed,2027-2028,Tiền Giang,1200.0,,,2x600 MW planned
Đầu tư Tân Phước II,Coal,Proposed,2028-2029,Tiền Giang,1200.0,,,2x600 MW planned
Đầu tư Tân Phước III,Coal,Proposed,2029+,Tiền Giang,1200.0,,,Proposed expansion
Đầu tư Tân Phước IV (LNG),Imported LNG,Proposed,2030+,Tiền Giang,2400.0,,,LNG conversion study
Điện gió Bạc Liêu giai đoạn III,Imported LNG,Proposed,2028-2030,Bạc Liêu,142.0,,,Wind-LNG hybrid concept
Điện gió Trung - Nam,Imported LNG,Proposed,2025-2027,Ninh Thuận,90.0,,,Wind-LNG hybrid
Đông Nai 2,Coal,Operational,2005,Đồng Nai,70.0,,,Small plant
Đông Nai 3,Coal,Operational,2009-2012,Đồng Nai,180.0,,,2x90 MW CFB
Đông Nai 4,Coal,Operational,2011-2012,Đồng Nai,340.0,,,2x170 MW CFB
Đông Nai 5,Coal,Operational,2015,Đồng Nai,145.0,,,Single unit
Đông Nai 6,Coal,Operational,2015,Đồng Nai,135.0,,,Private investor
Đông Nai 6A,Coal,Operational,2015,Đồng Nai,106.0,,,Small unit
Đức Giang,Coal,Operational,2019,Bắc Ninh,100.0,,,Cogeneration plant
Duyên Hải I #1,Coal,Operational,2014,Trà Vinh,600.0,,,First unit
Duyên Hải I #2,Coal,Operational,2015,Trà Vinh,600.0,,,Second unit
Duyên Hải II #1,Coal,Financed,2021-2022,Trà Vinh,600.0,,,2x600 MW BOT project
Duyên Hải II #2,Coal,Financed,2021-2022,Trà Vinh,600.0,,,2x600 MW BOT project
Duyên Hải III #1,Coal,Operational,2016,Trà Vinh,600.0,,,First unit
Duyên Hải III #2,Coal,Operational,2017,Trà Vinh,600.0,,,Second unit
Duyên Hải III mở rộng,Coal,Operational,2019,Trà Vinh,660.0,,,Additional 660 MW unit
Duyên Hải III #3,Coal,Proposed,2026-2028,Trà Vinh,600.0,,,Proposed third unit
EVN PowerCorporations Diesel,Diesel,Operational,1990s,Multiple,285.0,,,Diesel backup units
Formosa Đồng Nai #3,Coal,Operational,2016,Đồng Nai,150.0,,,Steel plant cogeneration
Formosa Hà Tĩnh #2,Coal,Operational,2014-2015,Hà Tĩnh,150.0,,,Steel plant unit
