name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Uông Bí,Coal,Operational,1975,Quảng Ninh,105.0,EVN Annual Report 2010-2011,EVN 2018 Report,Originally oil-fired converted to coal
Uông Bí mở rộng II,Coal,Operational,2014,Quảng Ninh,330.0,EVN 2017 Report,PDP7A,Unit 1: 300MW (2014)
Phả Lại I,Coal,Operational,1986,Hải Dương,440.0,EVN Annual Report 2010-2011,EVN 2018 Report,Two 220MW units
Phả Lại II,Coal,Operational,2001,Hải Dương,600.0,EVN Annual Report 2010-2011,EVN 2018 Report,Two 300MW units
Ninh Bình,Coal,Operational,1975,Ninh Bình,100.0,EVN Annual Report 2010-2011,EVN 2018 Report,Small coal plant
Hải Phòng I,Coal,Operational,1981,Hải Phòng,300.0,EVN Annual Report 2010-2011,EVN 2017 Report,Unit 1: 100MW (1981) Unit 2: 200MW (1985)
Quảng Ninh I,Coal,Operational,1985,Quảng Ninh,300.0,EVN Annual Report 2010-2011,EVN 2017 Report,Two 150MW units
Na Dương,Coal,Operational,2005,Lạng Sơn,111.0,Vinacomin,PDP8 Table 2,CFB technology for low-quality coal
Cao Nhân,Coal,Operational,2010,Quảng Ninh,115.0,EVN Annual Report 2010-2011,Report 32,Vinacomin
Cẩm Phả,Coal,Operational,2010,Quảng Ninh,600.0,Vinacomin,EVN Annual Report 2010-2011,Two 300MW units
Sơn Động,Coal,Operational,2011,Quảng Ninh,220.0,EVN Annual Report 2010-2011,,Vinacomin
Formosa Hà Tĩnh,Coal,Operational,2015,Hà Tĩnh,150.0,EVN Annual Report 2010-2011,PDP7A 2016,Captive plant for steel complex
Thủ Đức,Oil,Decommissioned,1975,Hồ Chí Minh,165.0,EVN Annual Report 2010-2011,Report 58,Retired 2020
Cần Thơ,Oil,Decommissioned,1995,Cần Thơ,33.0,EVN Annual Report 2010-2011,PDP7,Retired
Ô Môn I,Oil,Decommissioned,2004,Cần Thơ,330.0,EVN Annual Report 2010-2011,PDP8 Table 5,Converted to gas
Hiệp Phước,Oil,Operational,2004,Hồ Chí Minh,375.0,EVN Annual Report 2010-2011,PDP8 Table 1,Originally CCGT oil later converted to LNG
Phú Mỹ I,Gas,Operational,1995,Bà Rịa-Vũng Tàu,1090.0,EVN Annual Report 2010-2011,EVN 2018 Report,Two 545MW combined cycle blocks
Phú Mỹ II.1,Gas,Operational,1997,Bà Rịa-Vũng Tàu,900.0,EVN Annual Report 2010-2011,EVN 2018 Report,Three 300MW units
Phú Mỹ IV,Gas,Operational,2004,Bà Rịa-Vũng Tàu,450.0,EVN Annual Report 2010-2011,EVN 2018 Report,CCGT
Thu Duc,Gas,Operational,2003,Hồ Chí Minh,128.0,EVN Annual Report 2010-2011,EVN 2018 Report,Simple cycle gas
Cần Thơ,Gas,Operational,2008,Cần Thơ,150.0,EVN Annual Report 2010-2011,EVN 2018 Report,CCGT converted from oil
Bà Rịa,Gas,Operational,1992,Bà Rịa-Vũng Tàu,389.0,EVN Annual Report 2010-2011,EVN 2018 Report,Repowered multiple times
Nhơn Trạch I,Gas,Operational,2009,Đồng Nai,465.0,EVN Annual Report 2010-2011,PDP8 Table 5,CCGT
Nhơn Trạch II,Gas,Operational,2011,Đồng Nai,750.0,EVN Annual Report 2010-2011,PDP8 Table 5,Single-shaft CCGT
Cà Mau I,Gas,Operational,2008,Cà Mau,750.0,EVN Annual Report 2010-2011,PDP8 Table 5,Two 375MW blocks
