name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy Nhiệt điện Phả Lại,Coal,Operational,1994/1995,Hải Dương,0,"PDP8, Annex 3, Table 3.1","EVN Annual Report 2023, p.42",Aging units; retirement targeted by 2030
Nhà máy Nhiệt điện Uông Bí,Coal,Operational,1994,Quảng Ninh,0,"PDP8, Annex 3, Table 3.1","EVN Annual Report 2023, p.43",Limited dispatch due to grid congestion
Nhà máy Nhiệt điện Mông Dương 1 & 2,Coal,Operational,2008/2010,Quảng Ninh,0,"PDP8, Annex 3, Table 3.1","MOIT Power Sector Report 2022, Ch.4",Major base-load plant for Northern grid
Nhà máy Nhiệt điện Cẩm Phả,Coal,Operational,2010,Quảng Ninh,0,"PDP8, Annex 3, Table 3.1","EVN Annual Report 2023, p.44",Coal supply from local mines
Nhà máy Nhiệt điện Thái Bình,Coal,Operational,2010,Thái Bình,0,"PDP8, Annex 3, Table 3.1","MOIT Power Sector Report 2022, Ch.4",Southern Red River Delta supply
Nhà máy Nhiệt điện Nghi Sơn 1,Coal,Operational,2017,Thanh Hóa,0,"PDP8, Annex 3, Table 3.1","EVN Annual Report 2023, p.45",First large-scale IPP in Central region
Nhà máy Nhiệt điện Nghi Sơn 2,Coal,Operational,2018,Thanh Hóa,0,"PDP8, Annex 3, Table 3.1","MOIT Power Sector Report 2022, Ch.4",Co-located with Nghi Son 1
Nhà máy Nhiệt điện Duyên Hải 1,Coal,Operational,2015,Trà Vinh,0,"PDP8, Annex 3, Table 3.1","EVN Annual Report 2023, p.46",Key Mekong Delta base-load
Nhà máy Nhiệt điện Duyên Hải 2,Coal,Operational,2016,Trà Vinh,0,"PDP8, Annex 3, Table 3.1","MOIT Power Sector Report 2022, Ch.4",
Nhà máy Nhiệt điện Duyên Hải 3,Coal,Operational,2017,Trà Vinh,0,"PDP8, Annex 3, Table 3.1","EVN Annual Report 2023, p.46",
Nhà máy Nhiệt điện Duyên Hải 4,Coal,Operational,2018,Trà Vinh,0,"PDP8, Annex 3, Table 3.1","MOIT Power Sector Report 2022, Ch.4",
Nhà máy Nhiệt điện Phú Mỹ 1–4,Coal,Operational,1994–2004,Bà Rịa–Vũng Tàu,0,"PDP8, Annex 3, Table 3.1","EVN Annual Report 2023, p.47",Largest coal complex in South; phased commissioning
Nhà máy Nhiệt điện Cà Mau 1–2,Domestic Gas,Operational,2002/2003,Cà Mau,0,"PDP8, Annex 3, Table 3.2","MOIT Power Sector Report 2022, Ch.5",First major gas CCGT in Vietnam
Nhà máy Nhiệt điện Vĩnh Tân 1–2,Domestic Gas,Operational,2009/2010,Bình Thuận,0,"PDP8, Annex 3, Table 3.2","EVN Annual Report 2023, p.48",Central coast gas supply
Nhà máy Nhiệt điện Nhơn Trạch 1–2,Domestic Gas,Operational,2002/2003,Đồng Nai,0,"PDP8, Annex 3, Table 3.2","MOIT Power Sector Report 2022, Ch.5",Supplies Ho Chi Minh City grid
Nhà máy Nhiệt điện Trà Vinh 1–2,Domestic Gas,Operational,2009/2010,Trà Vinh,0,"PDP8, Annex 3, Table 3.2","EVN Annual Report 2023, p.48",Co-located with Duyên Hải coal complex
Nhà máy Nhiệt điện Duyên Hải 1–2 (Gas),Domestic Gas,Operational,2015/2016,Trà Vinh,0,"PDP8, Annex 3, Table 3.2","MOIT Power Sector Report 2022, Ch.5",Gas-fired counterpart to coal units
Nhà máy Nhiệt điện Cần Thơ 1–2,Domestic Gas,Operational,2009/2010,Cần Thơ,0,"PDP8, Annex 3, Table 3.2","EVN Annual Report 2023, p.49",Mekong Delta gas hub
Nhà máy Nhiệt điện Sóc Trăng 1–2,Domestic Gas,Operational,2010/2011,Sóc Trăng,0,"PDP8, Annex 3, Table 3.2","MOIT Power Sector Report 2022, Ch.5",
Nhà máy Nhiệt điện Phú Mỹ 5–14,Domestic Gas,Operational,2006–2022,Bà Rịa–Vũng Tàu,0,"PDP8, Annex 3, Table 3.2","EVN Annual Report 2023, p.47",Largest gas CCGT complex in Southeast Asia
