name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy nhiệt điện than Thăng Long,Coal,Suspended,,Quang Ninh,300.0,,,Originally planned as 300 MW subcritical; suspended due to environmental concerns and investor withdrawal around 2016.
Nhà máy nhiệt điện than Quảng Trạch 1,Coal,Operational,2021,Quang Binh,1200.0,,,Part of the Quang Trach power complex.
Nhà máy nhiệt điện than Quảng Trạch 2,Coal,Under construction,2024-2025,Quang Binh,1200.0,,,Phase 2 of the complex.
Nhà máy nhiệt điện than Duyên Hải 1,Coal,Operational,2015,Trà Vinh,1245.0,,,Units 1 & 2.
Nhà máy nhiệt điện than Duyên Hải 3,Coal,Operational,2017,Trà Vinh,688.0,,,Units 1 & 2.
Nhà máy nhiệt điện than Hải Lăng 1,Coal,Cancelled,,Quảng Trị,1200.0,,,Originally proposed 1200 MW; cancelled by Prime Minister in 2021 due to environmental concerns and shift in national energy policy.
Nhà máy nhiệt điện than Hải Lăng 2,Coal,Cancelled,,Quảng Trị,1200.0,,,Originally proposed 1200 MW; cancelled in 2021.
Nhà máy nhiệt điện than Nghi Sơn 2,Coal,Operational,2022,Thanh Hóa,1200.0,,,Units 1 & 2.
Nhà máy nhiệt điện than Vũng Áng 2,Coal,Operational,2022,Hà Tĩnh,1200.0,,,Units 1 & 2.
Nhà máy nhiệt điện than Sông Hậu 1,Coal,Operational,2022,Hậu Giang,1200.0,,,Units 1 & 2.
Nhà máy nhiệt điện than Thái Bình 1,Coal,Operational,2022,Thái Bình,1200.0,,,Units 1 & 2.
Nhà máy nhiệt điện than Hòa Bình 1,Coal,Under construction,2025,Hòa Bình,600.0,,,Expansion project.
Nhà máy nhiệt điện đối than Vũng Áng 1,Coal,Operational,2014,Hà Tĩnh,600.0,,,Units 1 & 2.
Nhà máy nhiệt điện đối than Phả Lại 1,Coal,Decommissioned,2016,Thái Nguyên,440.0,,,Units 1-4 decommissioned for upgrade.
Nhà máy nhiệt điện đối than Phả Lại 2,Coal,Operational,2019,Thái Nguyên,600.0,,,Replacement for Ph Lai 1.
Nhà máy nhiệt điện đối than Ninh Bình,Coal,Decommissioned,2020,Ninh Bình,100.0,,,Decommissioned in 2020.
Nhà máy nhiệt điện đối than Uông Bí 1,Coal,Decommissioned,2017,Quảng Ninh,150.0,,,Decommissioned.
Nhà máy nhiệt điện đối than Uông Bí 2,Coal,Operational,2014,Quảng Ninh,330.0,,,Units 1 & 2.
Nhà máy nhiệt điện đối than Uông Bí 3,Coal,Operational,2020,Quảng Ninh,330.0,,,Units 1 & 2.
Nhà máy nhiệt điện đối than Duyên Hải 2,Coal,Operational,2015,Trà Vinh,600.0,,,Units 1 & 2.
Nhà máy nhiệt điện đối than Duyên Hải 4,Coal,Operational,2017,Trà Vinh,688.0,,,Units 1 & 2.
Nhà máy nhiệt điện đối than Thăng Long,Coal,Cancelled,,Quảng Ninh,300.0,,,Cancelled due to environmental concerns and investor withdrawal.
Nhà máy nhiệt điện khí LNG Thị Vải 1,Imported LNG,Operational,2023,Bà Rịa - Vũng Tàu,450.0,,,First operational LNG power plant in Vietnam.
Nhà máy nhiệt điện khí LNG Thị Vải 2,Imported LNG,Under construction,2025-2026,Bà Rịa - Vũng Tàu,750.0,,,Part of the Southern LNG power cluster.
Nhà máy nhiệt điện khí LNG Sơn Mơn,Imported LNG,Under construction,2025-2026,Bà Rịa - Vũng Tàu,1500.0,,,Major LNG project in the South.
Nhà máy nhiệt điện khí LNG Hải Lăng,Imported LNG,Permitted,2026-2027,Quảng Trị,1500.0,,,Converted from original coal proposal.
Nhà máy nhiệt điện khí LNG Bạc Liêu,Imported LNG,Under construction,2027,Bạc Liêu,3200.0,,,Large-scale LNG project in the Mekong Delta.
Nhà máy nhiệt điện khí LNG Ninh Thuận 1,Imported LNG,Operational,2022,Ninh Thuận,450.0,,,First power unit of the Ninh Thuan LNG complex.
Nhà máy nhiệt điện khí LNG Ninh Thuận 2,Imported LNG,Under construction,2026,Ninh Thuận,1500.0,,,Phase 2 of the Ninh Thuan complex.
Nhà máy nhiệt điện khí LNG Long An 1 & 2,Imported LNG,Under construction,2026-2027,Long An,1200.0,,,Located in Southern region.
Nhà máy nhiệt điện khí Cần Thơ 3,Imported LNG,Proposed,2028-2029,Cần Thơ,800.0,,,Part of Southern power development plan.
Nhà máy nhiệt điện khí Quảng Ninh,Imported LNG,Proposed,2027-2028,Quảng Ninh,1500.0,,,Northern coastal LNG project.
Nhà máy nhiệt điện khí Hải Phòng 1 & 2,Imported LNG,Under construction,2026-2027,Hải Phòng,1350.0,,,Northern key LNG project.
Nhà máy nhiệt điện khí Nghi Sơn 3,Imported LNG,Under construction,2027,Thanh Hóa,1400.0,,,Converted from coal to LNG.
Nhà máy nhiệt điện khí Hậu Giang,Imported LNG,Proposed,2028-2029,Hậu Giang,800.0,,,Southern region power supply.
Nhà máy nhiệt điện khí Kiên Giang,Imported LNG,Proposed,2028-2029,Kiên Giang,1000.0,,,Mekong Delta LNG project.
Nhà máy nhiệt điện khí Thanh Hóa,Imported LNG,Proposed,2028,Thanh Hóa,1500.0,,,Converted from coal plans.
Nhà máy nhiệt điện đốt khí Chuỗi Vịnh Thái Lan,Domestic gas,Operational,2009,Bà Rịa - Vũng Tàu,450.0,,,Gas from offshore fields.
Nhà máy nhiệt điện đốt khí Phú Mỹ 1,Domestic gas,Operational,1997,Bà Rịa - Vũng Tàu,560.0,,,Part of Phu My gas complex.
Nhà máy nhiệt điện đốt khí Phú Mỹ 2,Domestic gas,Operational,1998,Bà Rịa - Vũng Tàu,600.0,,,Part of Phu My gas complex.
Nhà máy nhiệt điện đốt khí Phú Mỹ 3,Domestic gas,Operational,1999,Bà Rịa - Vũng Tàu,740.0,,,Part of Phu My gas complex.
Nhà máy nhiệt điện đốt khí Phú Mỹ 4,Domestic gas,Operational,2001,Bà Rịa - Vũng Tàu,620.0,,,Part of Phu My gas complex.
Nhà máy nhiệt điện đốt khí Bạc Liêu,Domestic gas,Operational,2008,Bạc Liêu,690.0,,,Southern region gas plant.
Nhà máy nhiệt điện đốt khí Cà Mau 1 & 2,Domestic gas,Operational,2007,Cà Mau,750.0,,,Southernmost gas plant.
Nhà máy nhiệt điện dầu Đà Nẵng,Oil,Decommissioned,2018,Đà Nẵng,120.0,,,Decommissioned due to age and environmental concerns.
Nhà máy nhiệt điện dầu Phú Lạng,Oil,Decommissioned,2015,Hải Phòng,90.0,,,Decommissioned.
Nhà máy nhiệt điện dầu Nhà Bè,Oil,Operational (reserve),2012,TP. Hồ Chí Minh,250.0,,,Peaking/backup plant.
Nhà máy nhiệt điện dầu Phú Mỹ 5,Oil,Operational (reserve),2014,Bà Rịa - Vũng Tàu,200.0,,,Peaking/backup.
Nhà máy nhiệt điện đốt than FORMOSA,Coal,Operational,2020,Hà Tĩnh,850.0,,,Captive power for Formosa industrial complex.
Nhà máy nhiệt điện đốt than Cửa Lò,Coal,Suspended,,Nghệ An,440.0,,,Originally proposed 440 MW; suspended and later cancelled.
Nhà máy nhiệt điện đốt than Hạ Long,Coal,Operational,2019,Quảng Ninh,1080.0,,,Units 1 & 2.
Nhà máy nhiệt điện đốt than Kông Jơ Lây,Coal,Proposed,,Gia Lai,300.0,,,Proposed captive power for aluminum smelting; uncertain status.
Nhà máy nhiệt điện đốt than Nhơn Trạch 1 & 2,Coal,Suspended,,Đồng Nai,1200.0,,,Suspended since 2016; originally proposed for Dong Nai province.
Nhà máy nhiệt điện đốt than Nhơn Trạch 3 & 4,Coal,Suspended,,Đồng Nai,1200.0,,,Suspended since 2016; later proposed for conversion to LNG.
