name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy Nhiệt điện Vĩnh Tân 1,Coal,Operational,2011,Binh Thuan,1.0,1800 MW proposed; 2x120 MW units,[8],EVN GENCO 3
Nhà máy Nhiệt điện Vĩnh Tân 2,Coal,Operational,2014,Binh Thuan,1.0,1800 MW proposed; 2x600 MW units,[8],EVN GENCO 3
Nhà máy Nhiệt điện Vĩnh Tân 3,Coal,Operational,2019,Binh Thuan,2.0,Originally 1,980 MW proposed (3x660 MW),"EVN (BOT with Marubeni, Kyushu Electric, KEPCO)"
Nhà máy Nhiệt điện Vĩnh Tân 4,Coal,Operational,2018,Binh Thuan,1.0,Originally 1,200 MW proposed (2x600 MW),EVN GENCO 3
Nhà máy Điện than Nghi Sơn 2,Coal,Operational,2021,Thanh Hoa,1.0,Originally 1,200 MW; 2x600 MW units,"Nghi Son Energy (Formosa Plastics, Japan)"
Nhà máy Nhiệt điện Mông Dương 1,Coal,Operational,2015,Quang Ninh,1.0,2x540 MW units,[8],EVN GENCO 1
Nhà máy Nhiệt điện Mông Dương 2,Coal,Operational,2019,Quang Ninh,1.0,1,200 MW; 2x600 MW units,EVN (BOT with Samsung C&T)
Nhà máy Điện than Quảng Ninh,Coal,Operational,1995–2005,Quang Ninh,600.0,[8],[18],2x300 MW units; older units retired
Nhà máy Nhiệt điện Pha Lai 1,Coal,Operational,1980s,Hai Duong,440.0,[8],[19],Retired units decommissioned; 2x220 MW remaining
Nhà máy Nhiệt điện Pha Lai 2,Coal,Operational,2018,Hai Duong,620.0,200 MW proposed (2x600 MW); only 1 unit built,[20],1
Nhà máy Nhiệt điện Duyên Hải 1,Coal,Operational,2015,Tra Vinh,1.0,2x520 MW units,[8],EVN GENCO 3
Nhà máy Nhiệt điện Duyên Hải 3,Coal,Operational,2022,Tra Vinh,1.0,2x660 MW units (USC),[23],"EVN (BOT with Marubeni, J-Power)"
Nhà máy Nhiệt điện Duyên Hải 3 (MW),Coal,Operational,2022,Tra Vinh,1.0,Extension of Duyen Hai 3,[25],EVN GENCO 1
Nhà máy Nhiệt điện Đại Ninh,Hydro,Operational,2008,Binh Thuan,0,[27],[28],Not thermal; excluded per instructions
