name,fuel,status,cod,province,capacity_mwe
Hoa Binh,Coal (Domestic),Operational,1988-2012,Hoa Binh,1920
Pha Lai 1,Coal (Domestic),Operational,1986,Haiphong,440
Pha Lai 2,Coal (Domestic),Operational,2001-2005,Haiphong,600
Ninh Binh,Coal (Domestic),Operational,1979-1981,Ninh Binh,100
Uong Bi,Coal (Domestic),Operational,1975-2006,Quang Ninh,0
Quang Ninh 1,Coal (Domestic),Operational,2006,Quang Ninh,600
Quang Ninh 2,Coal (Domestic),Operational,2011,Quang Ninh,600
Na Duong,Coal (Domestic),Operational,2014,Lang Son,110
Cao Ngan,Coal (Domestic),Operational,2015,Thai Nguyen,115
Cam Pha,Coal (Domestic),Operational,2011-2013,Quang Ninh,600
Son Dong,Coal (Domestic),Operational,2015,Bac Giang,220
Hai Phong 1,Coal (Imported),Operational,2011-2012,Haiphong,600
Mong Duong 1,Coal (Imported),Operational,2015,Quang Ninh,1080
Mong Duong 2,Coal (Imported),Operational,2015,Quang Ninh,1240
Vinh Tan 2,Coal (Imported),Operational,2014-2015,Binh Thuan,1244
Vinh Tan 4,Coal (Imported),Operational,2017-2018,Binh Thuan,1200
Duyen Hai 1,Coal (Imported),Operational,2015-2016,Tra Vinh,1245
Duyen Hai 3,Coal (Imported),Operational,2018,Tra Vinh,1245
Nghi Son 1,Coal (Imported),Operational,2013,Thanh Hoa,300
Formosa Ha Tinh,Coal (Imported),Operational,2017-2020,Ha Tinh,0
Vung Ang 1,Coal (Imported),Operational,2015,Ha Tinh,1200
Thang Long,Coal (Imported),Operational,2018-2019,Quang Ninh,600
An Khanh,Coal (Domestic),Operational,2023,Bac Giang,650
Na Duong 2,Coal (Domestic),Under Construction,2023,Lang Son,110
Quang Ninh 3,Coal (Imported),Planned,Post-2030,Quang Ninh,1200
Hai Phong 3,Coal (Imported),Planned,Post-2030,Haiphong,1200
Hai Phong 4,Coal (Imported),Planned,Post-2030,Haiphong,1200
Nam Dinh 1,Coal (Imported),Under Construction,2024-2025,Nam Dinh,1200
Nam Dinh 2,Coal (Imported),Planned,Post-2030,Nam Dinh,1200
Rang Dong,Coal (Imported),Planned,Post-2030,Nam Dinh,2400
Kim Son,Coal (Imported),Planned,Post-2030,Ninh Binh,3000
Phu Tho,Coal (Imported),Planned,Post-2030,Phu Tho,600
Thai Binh 3,Coal (Imported),Planned,Post-2030,Thai Binh,4000
Nghi Son 2,Coal (Imported),Operational,2022,Thanh Hoa,1200
Vung Ang 2,Coal (Imported),Under Construction,2026,Ha Tinh,1200
Quang Trach 1,Coal (Imported),Under Construction,2024-2025,Quang Binh,1200
Quang Trach 2,Coal (Imported),Planned,2026,Quang Binh,1200
Cong Thanh,Coal (Imported),Under Construction,2026,Thanh Hoa,600
Quynh Lap 1,Coal (Imported),Planned,2026,Nghe An,1200
Quynh Lap 2,Coal (Imported),Planned,Post-2030,Nghe An,1200
Vung Ang 3,Coal (Imported),Planned,Post-2030,Ha Tinh,1200
Quang Tri 1,Coal (Imported),Planned,2026-2027,Quang Tri,1200
Quang Tri 2,Coal (Imported),Planned,Post-2030,Quang Tri,2000
Phong Dien,Coal (Imported),Planned,Post-2030,Thua Thien Hue,2000
Quang Nam,Coal (Imported),Planned,Post-2030,Quang Nam,4000
Van Phong,Coal (Imported),Under Construction,2023-2024,Khanh Hoa,1320
Vinh Tan 3,Coal (Imported),Planned,2026-2027,Binh Thuan,1980
Binh Dinh 1,Coal (Imported),Planned,Post-2030,Binh Dinh,1200
Binh Dinh 2,Coal (Imported),Planned,Post-2030,Binh Dinh,2000
Binh Dinh 3,Coal (Imported),Planned,Post-2030,Binh Dinh,2000
Phu Yen,Coal (Imported),Planned,Post-2030,Phu Yen,4000
Duyen Hai 2,Coal (Imported),Operational,2021-2022,Tra Vinh,1200
Song Hau 1,Coal (Imported),Operational,2021-2022,Hau Giang,1200
Long Phu 1,Coal (Imported),Under Construction,2026,Soc Trang,1200
Song Hau 2,Coal (Imported),Planned,2027,Hau Giang,2000
Long Phu 2,Coal (Imported),Planned,2029-2030,Soc Trang,1200
Long Phu 3,Coal (Imported),Planned,Post-2030,Soc Trang,1800
Long An 1,Coal (Imported),Planned,Post-2030,Long An,1200
Long An 2,Coal (Imported),Planned,Post-2030,Long An,1600
Tan Phuoc 1,Coal (Imported),Planned,Post-2030,Tien Giang,1200
Tan Phuoc 2,Coal (Imported),Planned,Post-2030,Tien Giang,1200
Tan Phuoc 3,Coal (Imported),Planned,Post-2030,Tien Giang,1200
Kien Luong,Coal (Imported),Cancelled,-,Kien Giang,3600
Song Hau 3,Coal (Imported),Planned,Post-2030,Hau Giang,2000
Phu My 3,Coal (Domestic),Operational,2003,Ba Ria-Vung Tau,720
Pha Lai 3,Coal (Domestic),Planned,Post-2030,Haiphong,660
Thai Binh 2,Coal (Domestic),Under Construction,2021,Thai Binh,1200
Bao Dai,Coal (Domestic),Planned,Post-2030,Quang Ninh,600
Cam Pha 3,Coal (Domestic),Planned,Post-2030,Quang Ninh,440
Quynh Lap 1 (TKV),Coal (Domestic),Planned,2026,Nghe An,1200
Hai Phong 3 (TKV),Coal (Domestic),Planned,2028-2029,Haiphong,1200
Phú Mỹ 1,Local Natural Gas,Operational,2001,Bà Rịa-Vũng Tàu,1090
Phú Mỹ 2.1,Local Natural Gas,Operational,2004,Bà Rịa-Vũng Tàu,900
Phú Mỹ 4,Local Natural Gas,Operational,2004,Bà Rịa-Vũng Tàu,450
Bà Rịa,Local Natural Gas,Operational,2008,Bà Rịa-Vũng Tàu,389
Nhơn Trạch 1,Local Natural Gas,Operational,2008,Đồng Nai,465
Nhơn Trạch 2,Local Natural Gas,Operational,2011,Đồng Nai,750
Cà Mau 1,Local Natural Gas,Operational,2008,Cà Mau,750
Cà Mau 2,Local Natural Gas,Operational,2008,Cà Mau,750
Ô Môn I,Local Natural Gas,Operational,2014,Cần Thơ,330
Ô Môn I (converted to LNG),LNG,Planned,2025,Cần Thơ,660
Phú Mỹ 2.2 BOT,LNG,Operational,2005,Bà Rịa-Vũng Tàu,740
Phú Mỹ 3 BOT,LNG,Operational,2004,Bà Rịa-Vũng Tàu,740
Nhơn Trạch 3&4,LNG,Planned,2023-2024,Đồng Nai,1500
Kiên Giang 1,LNG,Planned,Post-2030,Kiên Giang,750
Kiên Giang 2,LNG,Planned,Post-2030,Kiên Giang,750
Sơn Mỹ II,LNG,Planned,2023-2025,Bình Thuận,2250
Bạc Liêu LNG,LNG,Planned,2025-2027,Bạc Liêu,3200
Hiệp Phước I,LNG,Planned,2021-2022,Hồ Chí Minh,1200
Hiệp Phước II,LNG,Proposed,Post-2030,Hồ Chí Minh,1500
Long Sơn I,LNG,Planned,2025-2026,Bà Rịa-Vũng Tàu,1200
Long Sơn II,LNG,Planned,Post-2030,Bà Rịa-Vũng Tàu,1500
Long Sơn III,LNG,Planned,Post-2030,Bà Rịa-Vũng Tàu,1500
Long Sơn IV,LNG,Proposed,Post-2030,Bà Rịa-Vũng Tàu,3600
Cái Mép H,LNG,Proposed,Post-2030,Bà Rịa-Vũng Tàu,6000
Long An I,LNG,Planned,2025-2026,Long An,1500
Long An II,LNG,Planned,Post-2030,Long An,1500
Tân Phước,LNG,Proposed,Post-2030,Tiền Giang,4500
Cà Mau 3,LNG,Proposed,Post-2030,Cà Mau,1500
Bến Tre LNG,LNG,Proposed,Post-2030,Bến Tre,3000
Quảng Ninh LNG,LNG,Planned,2025-2030,Quảng Ninh,1500
Quảng Ninh 2 LNG,LNG,Proposed,Post-2030,Quảng Ninh,1500
Quảng Ninh 3 LNG,LNG,Proposed,Post-2030,Quảng Ninh,4500
Quảng Ninh 4 LNG,LNG,Proposed,Post-2030,Quảng Ninh,3000
Hải Phòng 1 LNG,LNG,Proposed,Post-2030,Hải Phòng,1500
Hải Phòng 2 LNG,LNG,Proposed,Post-2030,Hải Phòng,1600
Hải Phòng 3 LNG,LNG,Proposed,Post-2030,Hải Phòng,4500
Hải Phòng 4 LNG,LNG,Proposed,Post-2030,Hải Phòng,4500
Thái Bình LNG,LNG,Planned,2025-2030,Thái Bình,1500
Nghi Sơn LNG,LNG,Planned,2025-2030,Thanh Hóa,1500
Hà Tĩnh LNG,LNG,Proposed,Post-2030,Hà Tĩnh,6000
Quảng Bình LNG,LNG,Proposed,Post-2030,Quảng Bình,3000
Hải Lăng LNG,LNG,Planned,2026-2027,Quảng Trị,1500
Hải Lăng 1 LNG,LNG,Proposed,Post-2030,Quảng Trị,3000
Chân Mây LNG,LNG,Proposed,Post-2030,Thừa Thiên Huế,4000
Phong Điền LNG,LNG,Proposed,Post-2030,Thừa Thiên Huế,3000
Quảng Nam LNG,LNG,Proposed,Post-2030,Quảng Nam,4000
Bình Định LNG,LNG,Proposed,Post-2030,Bình Định,5000
Vân Phong LNG,LNG,Proposed,Post-2030,Khánh Hòa,3000
Mỹ Giang LNG,LNG,Proposed,Post-2030,Khánh Hòa,6000
Cà Ná I LNG,LNG,Planned,2025-2026,Ninh Thuận,1500
Cà Ná II LNG,LNG,Proposed,Post-2030,Ninh Thuận,1500
Cà Ná III LNG,LNG,Proposed,Post-2030,Ninh Thuận,3000
Mũi Kê Gà LNG,LNG,Proposed,Post-2030,Bình Thuận,3600
Ô Môn II,LNG,Planned,2026,Cần Thơ,1050
Ô Môn III,LNG,Planned,2025,Cần Thơ,1050
Ô Môn IV,LNG,Planned,2023,Cần Thơ,1050
Dung Quất I,LNG,Planned,2024,Quảng Ngãi,750
Dung Quất II,LNG,Planned,2026,Quảng Ngãi,750
Dung Quất III,LNG,Planned,2025,Quảng Ngãi,750
Miền Trung I,LNG,Planned,2024,Quảng Ngãi/Quảng Trị,750
Miền Trung II,LNG,Planned,2025,Quảng Ngãi/Quảng Trị,750
Quảng Trị LNG,LNG,Planned,2025,Quảng Trị,340
TBKHH Sơn Mỹ I,LNG,Planned,2026-2028,Bình Thuận,2250
Sông Hậu I,Local Natural Gas,Operational,2021,Hậu Giang,1200
Sông Hậu II,Local Natural Gas,Under Construction,2024,Hậu Giang,2000
Long Phú I,Local Natural Gas,Under Construction,2026,Sóc Trăng,1200
Ô Môn II (Khí Lô B),Local Natural Gas,Planned,2026,Cần Thơ,1050
Ô Môn III (Khí Lô B),Local Natural Gas,Planned,2025,Cần Thơ,1050
Ô Môn IV (Khí Lô B),Local Natural Gas,Planned,2023,Cần Thơ,1050
