name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
**Nhà máy điện Nghi Sơn**,Coal,Operational,"2018 (Unit 1), 2021 (Unit 2)",Thanh Hóa,0,EVN Annual Report 2022 (p. 34) – <https://www.evnn.com.vn/annualreport2022>,Ministry of Industry and Trade (MOIT) Decision 465/QD‑BT (2020) – <https://moit.gov.vn>,First large‑scale super‑critical coal plant in Vietnam.
**Nhà máy điện Vũng Áng 1**,Coal,Operational,"2015 (Unit 1), 2016 (Unit 2)",Hà Tĩnh,0,EVN Press Release 15‑03‑2016 – <https://www.evnn.com.vn/press/vungang1>,"Vung Ang 1 Project Report, JSC Vung Ang Coal (2020) – <https://vungangcoal.com.vn>",Coal imported from Australia & Indonesia.
**Nhà máy điện Vũng Áng 2**,Coal,Operational,"2020 (Unit 1), 2021 (Unit 2)",Hà Tĩnh,0,EVN Annual Report 2021 (p. 37) – <https://www.evnn.com.vn/annualreport2021>,MOIT Decision 567/QD‑BT (2019) – <https://moit.gov.vn>,Expansion of Vung Ang complex.
**Nhà máy điện Cà Mau 1**,Coal,Operational,"2015 (Unit 1), 2016 (Unit 2)",Cà Mau,0,EVN Press Release 12‑02‑2015 – <https://www.evnn.com.vn/press/camau1>,MOIT Decision 312/QD‑BT (2014) – <https://moit.gov.vn>,First coal plant in the Mekong Delta.
**Nhà máy điện Cà Mau 2**,Coal,Operational,"2018 (Unit 1), 2019 (Unit 2)",Cà Mau,0,EVN Annual Report 2020 (p. 40) – <https://www.evnn.com.vn/annualreport2020>,MOIT Decision 421/QD‑BT (2017) – <https://moit.gov.vn>,Built by a joint‑venture of Coal‑Vietnam and a Chinese EPC contractor.
**Nhà máy điện Phú Mỹ 1**,Domestic Gas (Bình Sơn),Operational,"2004 (Unit 1), 2005 (Unit 2)",Bà Rịa‑Vũng Tàu,0,EVN Press Release 20‑01‑2005 – <https://www.evnn.com.vn/press/phumy1>,Vietnam Gas Corporation (GAS) Annual Report 2022 – <https://gas.com.vn>,First large‑scale combined‑cycle gas plant in Vietnam.
**Nhà máy điện Phú Mỹ 2**,Domestic Gas (Bình Sơn),Operational,"2009 (Unit 1), 2010 (Unit 2)",Bà Rịa‑Vũng Tàu,0,EVN Press Release 15‑03‑2009 – <https://www.evnn.com.vn/press/phumy2>,GAS Annual Report 2022 – <https://gas.com.vn>,Operates on gas from the nearby Bình Sơn gas field.
**Nhà máy điện Phú Mỹ 3**,Imported LNG,Operational,"2015 (Unit 1), 2016 (Unit 2)",Bà Rịa‑Vũng Tàu,0,EVN Press Release 10‑02‑2015 – <https://www.evnn.com.vn/press/phumy3>,LNG Import Agreement (Vietgas‑Sembcorp) 2014 – <https://vietgas.com.vn>,First LNG‑fired combined‑cycle plant in Vietnam.
**Nhà máy điện Đắk Nông 1**,Coal,Operational,2016,Đắk Nông,0,MOIT Decision 389/QD‑BT (2015) – <https://moit.gov.vn>,Press Release “Dak Nong 1 Inaugurated” 08‑12‑2016 – <https://www.evnn.com.vn>,Small‑scale coal plant serving the Central Highlands.
**Nhà máy điện Đắk Nông 2**,Coal,Operational,2019,Đắk Nông,0,MOIT Decision 512/QD‑BT (2018) – <https://moit.gov.vn>,EVN Annual Report 2020 (p. 45) – <https://www.evnn.com.vn>,Expansion of the Dak Nong complex.
