name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy Điện Phả Lại 2,Coal,Operational,1994/1995,Hải Dương,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",Legacy plant; scheduled for retirement by 2030
Nhà máy Điện Uông Bí,Coal,Retired,1980/1982,Quảng Ninh,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",Decommissioned 2018 due to age & emissions
Nhà máy Điện Mông Dương 2,Coal,Operational,2012/2013,Quảng Ninh,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",First 600 MW class in Vietnam
Nhà máy Điện Nghi Sơn 1 & 2,Coal,Operational,2015/2016,Thanh Hóa,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",IPP; coal sourced from Quang Ninh
Nhà máy Điện Thái Bình 1 & 2,Coal,Operational,2015/2016,Thái Bình,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",IPP; grid-connected to North-Central
"Nhà máy Điện Duyên Hải 1, 2, 3",Coal,Operational,2015/2016/2017,Trà Vinh,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",Largest coal cluster in Mekong Delta
Nhà máy Điện Duyên Hải 4,Coal,Under construction,2025/2026,Trà Vinh,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",First supercritical coal in South
"Nhà máy Điện Quảng Ninh 1, 2, 3",Coal,Operational,2015/2016/2017,Quảng Ninh,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",Proximity to coal mines reduces logistics cost
Nhà máy Điện Cà Mau 1 & 2,Coal,Operational,2015/2016,Cà Mau,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",Supports Mekong Delta demand growth
"Nhà máy Điện Vĩnh Tân 1, 2, 3, 4",Coal,Operational,2015/2016/2017/2018,Ninh Thuận,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",Largest single-site coal complex in Vietnam
Nhà máy Điện Mông Dương 3,Coal,Planned (Under review),2026/2027,Quảng Ninh,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",Subject to climate commitments & grid constraints
Nhà máy Điện Uông Bí 2,Coal,Planned (Under review),2027/2028,Quảng Ninh,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",Replaces retired Uông Bí 1; pending financing
Nhà máy Điện Phả Lại 3,Coal,Planned (Under review),2028/2029,Hải Dương,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",Part of North grid security plan
Nhà máy Điện Nghi Sơn 3,Coal,Planned (Under review),2028/2029,Thanh Hóa,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",IPP; coal supply secured
Nhà máy Điện Thái Bình 3,Coal,Planned (Under review),2029/2030,Thái Bình,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",Grid reinforcement required
Nhà máy Điện Duyên Hải 5,Coal,Planned (Under review),2029/2030,Trà Vinh,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",Mekong Delta peak demand support
Nhà máy Điện Quảng Ninh 4,Coal,Planned (Under review),2030/2031,Quảng Ninh,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",Subject to coal phase-down policy
Nhà máy Điện Cà Mau 3,Coal,Planned (Under review),2030/2031,Cà Mau,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",LNG transition pending
Nhà máy Điện Vĩnh Tân 5,Coal,Planned (Under review),2031/2032,Ninh Thuận,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",Long-term security reserve
"Nhà máy Điện Phú Mỹ 1, 2, 3, 4",Domestic Gas,Operational,1995/1996/1997/1998,Bà Rịa - Vũng Tàu,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",First major gas cluster; PSC-based
Nhà máy Điện Bà Rịa 1 & 2,Domestic Gas,Operational,1995/1996,Bà Rịa - Vũng Tàu,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",Supports Southeast grid
Nhà máy Điện Đầm Mây,Domestic Gas,Operational,2000/2001,Khánh Hòa,0,"PDP8 (125/QĐ-TTg), Phụ lục 1, Bảng 3.2","MOIT, Báo cáo thường niên 2023, Phụ lục A",Central Vietnam peak load support
