name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhiệt điện Mông Dương 1,Coal,Operational,2015,Quang Ninh,1110.0,,,2x555 MW units
Nhiệt điện Mông Dương 2,Coal,Operational,2015,Quang Ninh,1242.0,,,BOT project; 2x621 MW
Nhiệt điện Vĩnh Tân 2,Coal,Operational,2014,Bình Thuận,1244.0,,,2x622 MW
Nhiệt điện Vĩnh Tân 4,Coal,Operational,2017,Bình Thuận,1200.0,,,2x600 MW
Nhiệt điện Duyên Hải 1,Coal,Operational,2015,Trà Vinh,1244.0,,,2x622 MW
Nhiệt điện Duyên Hải 3,Coal,Operational,2015,Trà Vinh,1244.0,,,2x622 MW
Nhiệt điện Phả Lại 1,Coal,Operational,1983,Hải Dương,600.0,,,Soviet-era construction; 4x150 MW; scheduled for eventual retirement
Nhiệt điện Phả Lại 2,Coal,Operational,2001,Hải Dương,600.0,,,2x300 MW circulating fluidized bed
Nhiệt điện Quảng Ninh,Coal,Operational,2002-2004,Quảng Ninh,1200.0,,,4x300 MW
Nhiệt điện Cẩm Phả,Coal,Operational,2011,Quảng Ninh,680.0,,,2x340 MW; uses CFB technology
Nhiệt điện Uông Bí Mở rộng,Coal,Operational,2007,Quảng Ninh,300.0,,,1x300 MW CFB; expansion of older Uong Bi 1 (decommissioned)
Nhiệt điện Nghi Sơn 1,Coal,Operational,2013,Thanh Hóa,600.0,,,2x300 MW
Nhiệt điện Nghi Sơn 2,Coal,Operational,2022,Thanh Hóa,1200.0,,,2x600 MW BOT project
Nhiệt điện Thái Bình 1,Coal,Operational,2018,Thái Bình,1200.0,,,2x600 MW
Nhiệt điện Sông Hậu 1,Coal,Operational,2021,Hậu Giang,1200.0,,,2x600 MW
Nhiệt điện Hải Phòng 1,Coal,Operational,1974,Hải Phòng,600.0,,,2x300 MW; Soviet-built; some units may be retired/mothballed
Nhiệt điện Hải Phòng 2,Coal,Operational,1975,Hải Phòng,600.0,,,2x300 MW; Soviet-built
Nhiệt điện Na Dương,Coal,Operational,2015,Lạng Sơn,110.0,,,2x55 MW; captive for coal mining operations but grid-connected
Nhiệt điện Cao Ngạn,Coal,Operational,2017,Thái Nguyên,110.0,,,2x55 MW
Nhiệt điện Nông Sơn,Coal,Operational,2018,Quảng Nam,30.0,,,1x30 MW; small-scale coal plant
Nhiệt điện Đức Giang Lào Cai,Coal,Operational,2018,Lào Cai,60.0,,,2x30 MW; captive industrial power
Nhiệt điện Thăng Long,Coal,Operational,2017,Thanh Hóa,600.0,,,2x300 MW CFB; BOT project primarily supplying industrial zone
Nhiệt điện Thái Bình 2,Coal,Under construction,2024-2025,Thái Bình,1200.0,,,2x600 MW; previously stalled due to financing issues
Nhiệt điện Vân Phong 1,Coal,Under construction,2025-2026,Khánh Hòa,1320.0,,,2x660 MW BOT
Nhiệt điện Quảng Trạch 1,Coal,Under construction,2025-2026,Quảng Bình,1200.0,,,2x600 MW; site preparation ongoing
Nhiệt điện Long Phú 1,Coal,Under construction (delayed),2025-2026,Sóc Trăng,1200.0,,,2x600 MW; construction suspended 2022-2023 due to sanctions; Russian-funded
Nhiệt điện Vĩnh Tân 3,Coal,Cancelled/Suspended,N/A,Bình Thuận,1980.0,,,3x660 MW BOT; removed from PDP 7 revised; permits lapsed
Nhiệt điện Vĩnh Tân 4 Mở rộng,Coal,Cancelled,N/A,Bình Thuận,1200.0,,,2x600 MW; cancelled under PDP 8
Nhiệt điện Sông Hậu 2,Coal,Cancelled,N/A,Hậu Giang,2000.0,,,2x1000 MW ultra-supercritical; removed from PDP 7 revised
Nhiệt điện Sông Hậu 3,Coal,Cancelled,N/A,Hậu Giang,2000.0,,,2x1000 MW ultra-supercritical; removed from PDP
Nhiệt điện Quảng Trạch 2,Coal,Proposed/Financed,2028-2029,Quảng Bình,1200.0,,,2x600 MW; approved in PDP 8 but financing not secured
Nhiệt điện Long Phú 2,Coal,Cancelled,N/A,Sóc Trăng,1200.0,,,2x600 MW; removed from PDP
Nhiệt điện Long Phú 3,Coal,Cancelled,N/A,Sóc Trăng,1200.0,,,2x600 MW; removed from PDP
Nhiệt điện Kiên Lương 1,Coal,Cancelled,N/A,Kiên Giang,1200.0,,,BOT contract terminated; site repurposed for LNG
Nhiệt điện Vũng Áng 2,Coal,Cancelled,N/A,Hà Tĩnh,1200.0,,,BOT project cancelled due to environmental/financing concerns
Nhiệt điện Vũng Áng 3,Coal,Cancelled,N/A,Hà Tĩnh,1200.0,,,Removed from PDP
Nhiệt điện Công Thanh,Coal,Proposed/Cancelled,N/A,Thanh Hóa,1200.0,,,Planned as captive for cement but also grid export; delayed indefinitely
Nhiệt điện Nam Định 1,Coal,Cancelled,N/A,Nam Định,1110.0,,,2x555 MW BOT; Taekwang withdrew; project cancelled
Nhiệt điện Tân Phước 1,Coal,Cancelled,N/A,Đồng Nai,1200.0,,,2x600 MW; removed from PDP
Nhiệt điện Tân Phước 2,Coal,Cancelled,N/A,Đồng Nai,1200.0,,,2x600 MW; removed from PDP
Nhiệt điện Vân Phong 2,Coal,Cancelled,N/A,Khánh Hòa,2000.0,,,2x1000 MW; Tenaga withdrew; cancelled
Điện Phú Mỹ 1,Domestic gas,Operational,1990s,Bà Rịa - Vũng Tàu,800.0,,,Combined cycle
Điện Phú Mỹ 2-1,Domestic gas,Operational,2000,Bà Rịa - Vũng Tàu,450.0,,,Block 2.1
Điện Phú Mỹ 2-2,Domestic gas,Operational,2005,Bà Rịa - Vũng Tàu,450.0,,,Block 2.2
Điện Phú Mỹ 3,Domestic gas,Operational,2004,Bà Rịa - Vũng Tàu,750.0,,,BOT project
Điện Phú Mỹ 4,Domestic gas,Operational,2005,Bà Rịa - Vũng Tàu,450.0,,,Combined cycle
Điện Nhơn Trạch 1,Domestic gas,Operational,2003,Đồng Nai,450.0,,,Combined cycle
Điện Nhơn Trạch 2,Domestic gas,Operational,2011,Đồng Nai,750.0,,,Combined cycle
Điện Cà Mau 1,Domestic gas,Operational,2008,Cà Mau,750.0,,,Combined cycle
Điện Cà Mau 2,Domestic gas,Operational,2008,Cà Mau,750.0,,,Combined cycle
Điện Ô Môn 1,Domestic gas,Operational,2015,Cần Thơ,660.0,,,Combined cycle
Điện Ô Môn 2,Domestic gas,Under construction (resumed),2025-2026,Cần Thơ,660.0,,,Construction resumed 2023 after long suspension due to gas supply uncertainty
Điện Nhơn Trạch 3,Imported LNG,Under construction,2024-2025,Đồng Nai,750.0,,,LNG-to-power; combined cycle
Điện Nhơn Trạch 4,Imported LNG,Under construction,2025-2026,Đồng Nai,750.0,,,LNG-to-power; combined cycle
Điện Long An 1,Imported LNG,Under construction,2026-2027,Long An,1500.0,,,2x750 MW LNG-to-power
Điện Sơn Mỹ 1,Imported LNG,Financed/Proposed,2027-2028,Bình Thuận,2000.0,,,LNG import terminal + power; financing secured 2024
Điện Sơn Mỹ 2,Imported LNG,Proposed,2028-2029,Bình Thuận,2000.0,,,LNG-to-power
Điện khí LNG Bạc Liêu,Imported LNG,Under construction (phased),2027-2030,Bạc Liêu,3200.0,,,Phased development; 4x800 MW; FID delayed but technically under construction
Điện Cà Mau 3,Imported LNG,Proposed,2028-2029,Cà Mau,750.0,,,LNG conversion/addition to existing Ca Mau complex
Điện Ô Môn 3,Imported LNG,Proposed,2028-2029,Cần Thơ,660.0,,,LNG-to-power
Điện Ô Môn 4,Imported LNG,Proposed,2029-2030,Cần Thơ,660.0,,,LNG-to-power
Điện khí LNG Chân Mây,Imported LNG,Proposed,2029-2030,Thừa Thiên Huế,4000.0,,,Phased development; 2x2000 MW or 4x1000 MW
Điện Hiệp Phước 1,Domestic gas,Operational,2013,TP. Hồ Chí Minh,375.0,,,Combined cycle
Điện Hiệp Phước 2,Imported LNG,Proposed,2026-2027,TP. Hồ Chí Minh,1200.0,,,LNG-to-power to replace aging oil plants
Điện Nhơn Trạch 5,Imported LNG,Proposed,2030+,Đồng Nai,750.0,,,Planned in PDP 8
Điện Nhơn Trạch 6,Imported LNG,Proposed,2030+,Đồng Nai,750.0,,,Planned in PDP 8
Điện Long An 2,Imported LNG,Proposed,2028-2029,Long An,1500.0,,,LNG-to-power
Điện Thị Vải,Imported LNG,Proposed,2028-2029,Bà Rịa - Vũng Tàu,1500.0,,,Associated with Thi Vai LNG terminal
Điện Vũng Áng LNG,Imported LNG,Proposed,2029-2030,Hà Tĩnh,1500.0,,,Planned to replace cancelled Vung Ang 2 coal
Điện Quảng Ninh LNG,Imported LNG,Proposed,2029-2030,Quảng Ninh,1500.0,,,Planned near Quang Ninh port
Điện Cát Lái 1,Oil/Diesel,Operational,1978,TP. Hồ Chí Minh,300.0,,,Open cycle gas turbine (diesel); peaking plant
Điện Cát Lái 2,Oil/Diesel,Operational,1996,TP. Hồ Chí Minh,300.0,,,Open cycle; peaking
Điện Thủ Đức,Oil,Operational,1986,TP. Hồ Chí Minh,150.0,,,Heavy fuel oil steam plant
Điện Nhà Bè,Oil/Diesel,Operational,1970s,TP. Hồ Chí Minh,108.0,,,Diesel engines
Điện Hiệp Hòa,Oil,Operational,1990s,Bắc Giang,120.0,,,Heavy fuel oil
Điện Phú Quý,Diesel,Operational,2006,Bình Thuận,72.0,,,Island diesel plant; 4x18 MW
Điện Mỹ Tho,Oil/Diesel,Operational,1970s,Tiền Giang,30.0,,,Diesel units
Điện Cần Thơ,Oil,Operational,1970s,Cần Thơ,30.0,,,Diesel units
Điện Bà Rịa (cũ),Oil/Diesel,Decommissioned,1970s,Bà Rịa - Vũng Tàu,110.0,,,Retired and replaced by Phu My complex
Nhiệt điện Formosa Hà Tĩnh,Coal,Operational,2016,Hà Tĩnh,1950.0,,,Captive industrial; 4x150 MW + 3x450 MW; for steel mill
Nhiệt điện Hòa Phát Dung Quất,Coal,Operational,2019,Quảng Ngãi,300.0,,,2x150 MW captive for steel complex
Điện sức ép Lọc hóa dầu Dung Quất,Domestic gas,Operational,2009,Quảng Ngãi,150.0,,,Captive for refinery; approximate capacity 120-150 MW
Điện sức ép Lọc hóa dầu Nghi Sơn,Imported LNG/Domestic gas,Operational,2018,Thanh Hóa,420.0,,,Captive for refinery; combined cycle
Nhiệt điện TISCO,Coal,Operational,1970s,Thái Nguyên,100.0,,,Captive for steel mill; multiple units
Nhiệt điện xi măng Công Thanh,Coal,Operational,2020,Thanh Hóa,30.0,,,Captive for cement plant
Nhiệt điện xi măng Nghi Sơn,Coal,Operational,2010s,Thanh Hóa,30.0,,,Captive for cement
Nhiệt điện xi măng Bút Sơn,Coal,Operational,2010s,Thanh Hóa,30.0,,,Captive for cement
Nhiệt điện xi măng Hoàng Mai,Coal,Operational,2010s,Nghệ An,30.0,,,Captive for cement
Nhiệt điện xi măng Hà Tiên,Coal,Operational,2010s,Kiên Giang,30.0,,,Captive for cement
Nhiệt điện xi măng Hải Vân,Coal,Operational,2010s,Đà Nẵng,30.0,,,Captive for cement
Nhiệt điện xi măng INSEE,Coal,Operational,2010s,Bình Dương,30.0,,,Captive for cement
Nhiệt điện xi măng Holcim,Coal,Operational,2010s,Kiên Giang,30.0,,,Captive for Hon Chong cement plant
Điện tự phát Samsung Bắc Ninh,Domestic gas,Operational,2010s,Bắc Ninh,150.0,,,Captive for electronics manufacturing
Điện tự phát Samsung Thái Nguyên,Domestic gas,Operational,2010s,Thái Nguyên,150.0,,,Captive for electronics manufacturing
Điện tự phát VinFast Hải Phòng,Gas/Diesel,Operational,2020s,Hải Phòng,200.0,,,Captive for automobile manufacturing; multiple units
Điện tự phát LG Hải Phòng,Domestic gas,Operational,2010s,Hải Phòng,50.0,,,Captive for electronics; may be combined with other LG facilities to exceed 30 MW
Điện Long Sơn Petrochemical,Oil/Gas,Proposed,2025-2026,Bà Rịa - Vũng Tàu,150.0,,,Captive for petrochemical complex
Nhiệt điện Uông Bí 1,Coal,Decommissioned,1975-2010,Quảng Ninh,100.0,,,First unit retired; completely decommissioned by 2010
Nhiệt điện Đồng Nhơn,Coal,Proposed/Cancelled,N/A,Bình Định,1200.0,,,BOT project proposed 2008; no further development
