name,fuel,status,cod,province,capacity_mwe
Mong Duong 1,Coal,Operational,2013,Quang Ninh,1080
Mong Duong 2,Coal,Operational,2015,Quang Ninh,1120
Vung Ang 1,Coal,Operational,2014,Ha Tinh,1248
Nam Dinh 1,Coal,Operational,2017,Nam Dinh,1200
Thai Binh 2,Coal,Operational,2021,Thai Binh,600
Phai Lai,Coal,Operational,2022,Bac Giang,1320
Vinh Tan 4,Coal,Operational,2019,Binh Thuan,600
Vinh Tan 4 Extension,Coal,Operational,2022,Binh Thuan,1200
Duyen Hai 1,Coal,Operational,2014,Tra Vinh,660
Duyen Hai 3,Coal,Operational,2016,Tra Vinh,630
Duyen Hai 4,Coal,Operational,2020,Tra Vinh,660
Quang Trach 1,Coal,Planning,Planned: 2030,Quang Binh,1320
Vung Ang 2,Coal,Suspended,Postponed,Ha Tinh,1320
Long An 1,Coal,Suspended,Postponed,Long An,1200
Ca Mau 1,Local Natural Gas,Operational,2008,Ca Mau,750
Ca Mau 2,Local Natural Gas,Operational,2009,Ca Mau,750
Phu My 2.1,Local Natural Gas,Operational,2001,Ba Ria-Vung Tau,1350
Phu My 3,Local Natural Gas,Operational,2004,Ba Ria-Vung Tau,730
Phu My 4,Local Natural Gas,Operational,2002,Ba Ria-Vung Tau,710
O Mon 1,Local Natural Gas,Operational,2018,Can Tho,660
O Mon 2,Local Natural Gas,Operational,2021,Can Tho,700
Ba Ria CCPP,Local Natural Gas,Operational,2023,Ba Ria-Vung Tau,800
Nhon Trach 3,Imported LNG,Operational,2024,Dong Nai,750
Nhon Trach 4,Imported LNG,Under Construction,Planned: 2026,Dong Nai,750
Son My LNG,Imported LNG,Planning,Planned: 2028,Ninh Thuan,1500
Long Son LNG,Imported LNG,Planning,Planned: 2029,Ba Ria-Vung Tau,1200
O Mon 3 (LNG),Imported LNG,Project Preparation,Planned: 2027,Can Tho,750
Kien Giang LNG,Imported LNG,Feasibility Study,Planned: 2030,Kien Giang,600
Hai Phong LNG,Imported LNG,Feasibility Study,Planned: 2027,Hai Phong,1200
Quang Ninh LNG,Imported LNG,Feasibility Study,Planned: 2029,Quang Ninh,1200
