name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhiệt điện Phả Lại 1,Coal,Operational,1983–1986,Hải Dương,0,S3,S6,Oldest major coal plant; Soviet-era technology; rehabilitation completed ~2005
Nhiệt điện Phả Lại 2,Coal,Operational,2001–2002,Hải Dương,0,S3,S6,First domestic BOT-era coal plant
Nhiệt điện Uông Bí,Coal,Operational (partial),1963–1974,Quảng Ninh,0,S3,S6,Original units; some retired; expanded with Uong Bi Extension
Nhiệt điện Uông Bí mở rộng 1,Coal,Operational,2010,Quảng Ninh,0,S3,S6,
Nhiệt điện Uông Bí mở rộng 2,Coal,Operational,2016,Quảng Ninh,0,S3,S6,
Nhiệt điện Ninh Bình,Coal,Operational,1974–1976,Ninh Bình,0,S3,S6,Aging plant; retirement discussions ongoing under PDP8
Nhiệt điện Na Dương,Coal,Operational,2004,Lạng Sơn,0,S5,S6,Burns local lignite; mine-mouth plant
Nhiệt điện Cao Ngạn,Coal,Operational,2006,Thái Nguyên,0,S5,S6,Mine-mouth; local coal
Nhiệt điện Cẩm Phả,Coal,Operational,2010–2011,Quảng Ninh,0,S5,S6,
Nhiệt điện Mạo Khê,Coal,Operational,2011–2012,Quảng Ninh,0,S5,S6,
Nhiệt điện Quảng Ninh 1,Coal,Operational,2011–2012,Quảng Ninh,0,S3,S6,
Nhiệt điện Quảng Ninh 2,Coal,Operational,2013–2014,Quảng Ninh,0,S3,S6,
Nhiệt điện Hải Phòng 1,Coal,Operational,2011–2012,Hải Phòng,0,S3,S6,
Nhiệt điện Hải Phòng 2,Coal,Operational,2013–2014,Hải Phòng,0,S3,S6,
Nhiệt điện Nghi Sơn 1,Coal,Operational,2017–2018,Thanh Hóa,0,S3,S6,Japanese-financed BOT
Nhiệt điện Nghi Sơn 2,Coal,Operational,2021–2022,Thanh Hóa,0,S3,S6,First supercritical plant in Vietnam
Nhiệt điện Vũng Áng 1,Coal,Operational,2015–2016,Hà Tĩnh,0,S4,S6,
Nhiệt điện Vĩnh Tân 2,Coal,Operational,2014–2015,Bình Thuận,0,S3,S6,Part of Vinh Tan power complex
Nhiệt điện Vĩnh Tân 4,Coal,Operational,2018–2019,Bình Thuận,0,S3,S6,
Nhiệt điện Duyên Hải 1,Coal,Operational,2015–2016,Trà Vinh,0,S3,S6,
Nhiệt điện Duyên Hải 3,Coal,Operational,2017–2018,Trà Vinh,0,S3,S6,
Nhiệt điện Duyên Hải 3 mở rộng,Coal,Operational,2019,Trà Vinh,0,S3,S6,
Nhiệt điện Formosa Hà Tĩnh,Coal,Operational,2016–2017,Hà Tĩnh,0,S6,S10,Captive industrial plant; not dispatched by EVN grid
Nhiệt điện Thái Bình 1,Coal,Operational,2022–2023,Thái Bình,0,S3,S6,Long-delayed; finally commissioned
Nhiệt điện Thái Bình 2,Coal,Operational,2023–2024,Thái Bình,0,S4,S6,Extremely delayed (originally 2015); commissioned 2023
Nhiệt điện Vĩnh Tân 4 mở rộng,Coal,Operational,2021,Bình Thuận,0,S3,S6,
Nhiệt điện Mông Dương 1,Coal,Operational,2014–2015,Quảng Ninh,0,S5,S6,
Nhiệt điện Mông Dương 2,Coal,Operational,2015,Quảng Ninh,0,S6,S10,US-Korean BOT; first private supercritical
Nhiệt điện Hải Dương,Coal,Operational,2020–2021,Hải Dương,0,S6,S10,Malaysian-Chinese BOT
Nhiệt điện Vũng Áng 2,Coal,Under Construction,2025–2026 (est.),Hà Tĩnh,0,S1,S6,Financing secured; construction ongoing
Nhiệt điện Nam Định 1,Coal,Under Construction,2025–2026 (est.),Nam Định,0,S1,S6,Korean-Chinese BOT
Nhiệt điện Quảng Trạch 1,Coal,Under Construction,2025–2026 (est.),Quảng Bình,0,S1,S3,
Nhiệt điện Vĩnh Tân 1,Coal,Operational,2018–2019,Bình Thuận,0,S6,S10,Chinese BOT
Nhiệt điện Long Phú 1,Coal,Suspended,Orig. 2018; suspended 2022,Sóc Trăng,0,S1,S4,Suspended due to US sanctions on Russian contractor; PDP8 retains but timeline unclear
Nhiệt điện Sông Hậu 1,Coal,Operational,2022–2023,Hậu Giang,0,S4,S6,
Nhiệt điện An Khánh,Coal,Operational,2014,Thái Nguyên,0,S5,S6,Small mine-mouth plant
Nhiệt điện Na Dương 2,Coal,Operational,2019,Lạng Sơn,0,S5,S6,Expansion of Na Duong complex
