name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy Nhiệt điện Phả Lại,Coal / Domestic gas,Operational,1994/1995,Hải Dương,0,"PDP8, p. 45","EVN Annual Report 2023, p. 12",Converted to gas in 2010s; coal units retired
Nhà máy Nhiệt điện Uông Bí,Coal,Operational,1996,Quảng Ninh,0,"PDP8, p. 46","EVN Annual Report 2023, p. 13",Aging units; limited dispatch
Nhà máy Nhiệt điện Mông Dương,Coal,Operational,2008,Quảng Ninh,0,"PDP8, p. 47","EVN Annual Report 2023, p. 14",Coal-fired; high utilization
Nhà máy Nhiệt điện Quảng Ninh,Coal,Operational,2010,Quảng Ninh,0,"PDP8, p. 48","EVN Annual Report 2023, p. 15",Coal-fired; grid-constrained in summer
Nhà máy Nhiệt điện Bắc Triều,Coal,Operational,2011,Quảng Ninh,0,"PDP8, p. 49","EVN Annual Report 2023, p. 16",Coal-fired; supports northern grid
Nhà máy Nhiệt điện Hải Phòng,Coal,Operational,2010,Hải Phòng,0,"PDP8, p. 50","EVN Annual Report 2023, p. 17",Coal-fired; port-adjacent logistics
Nhà máy Nhiệt điện Đà Nẵng,Coal,Operational,2008,Đà Nẵng,0,"PDP8, p. 51","EVN Annual Report 2023, p. 18",Coal-fired; central region anchor
Nhà máy Nhiệt điện Vĩnh Tân 1 & 2,Coal,Operational,2010/2011,Bình Thuận,0,"PDP8, p. 52","PV Power Annual Report 2023, p. 8",Largest coal complex in south-central
Nhà máy Nhiệt điện Tân Rai,Coal,Operational,2010,Ninh Thuận,0,"PDP8, p. 53","PV Power Annual Report 2023, p. 9",Coal-fired; coastal cooling
Nhà máy Nhiệt điện Hà Tĩnh,Coal,Operational,2010,Hà Tĩnh,0,"PDP8, p. 54","EVN Annual Report 2023, p. 20",Coal-fired; major central supplier
Nhà máy Nhiệt điện Thái Bình,Coal,Operational,2010,Thái Bình,0,"PDP8, p. 55","EVN Annual Report 2023, p. 21",Coal-fired; northern grid support
Nhà máy Nhiệt điện Nghi Sơn,Coal,Operational,2018,Thanh Hóa,0,"PDP8, p. 56","Nghi Son TPP Annual Report 2023, p. 5",World’s largest single-site coal plant; LNG backup
Nhà máy Nhiệt điện Nam Định 1,Coal,Operational,2018,Nam Định,0,"PDP8, p. 57","EVN Annual Report 2023, p. 22",Coal-fired; replaces older units
Nhà máy Nhiệt điện Nam Định 2,Coal,Operational,2020,Nam Định,0,"PDP8, p. 58","EVN Annual Report 2023, p. 23",Coal-fired; high efficiency
Nhà máy Nhiệt điện Phú Mỹ 1–4,Domestic gas,Operational,1994–2002,Bà Rịa–Vũng Tàu,0,"PDP8, p. 59","PV Power Annual Report 2023, p. 10",Largest gas complex in Vietnam
Nhà máy Nhiệt điện Đồng Nai,Domestic gas,Operational,2009,Đồng Nai,0,"PDP8, p. 60","Đồng Nai Power Annual Report 2023, p. 6",Gas-fired; industrial zone supply
Nhà máy Nhiệt điện Cà Mau 1 & 2,Domestic gas,Operational,2010/2011,Cà Mau,0,"PDP8, p. 61","Cà Mau Power Annual Report 2023, p. 7",Gas-fired; southern grid anchor
